cluster_tr2000,project_count,ssl_distinct_count,ssl_count,appraised_value_count,missing_tax_count,sum_appraised_value_prior_land,sum_appraised_value_prior_total,sum_appraised_value_current_land,sum_appraised_value_current_total,cluster_tr2000_name,percent_ssl_missing,average_land_appraisal,sum_assisted_units,avg_sum_appraised_value_prior_land,avg_sum_appraised_value_prior_total,avg_sum_appraised_value_current_land,avg_sum_appraised_value_current_total
Cluster 8,24,24,24,22,2,217017080,563652910,223728280,705756700,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",0.08,10169467,2565,84607,219748,87224,275149
Cluster 27,16,15,15,13,2,83834560,234166020,87894470,246954370,"Near Southeast, Navy Yard",0.13,6761113,1056,79389,221748,83233,233858
Cluster 7,20,20,20,15,5,98134480,320580010,101154370,442811290,"Shaw, Logan Circle",0.25,6743625,2022,48533,158546,50027,218997
Cluster 5,1,1,1,1,0,10734720,28751500,10734720,29723190,"West End, Foggy Bottom, GWU",0,10734720,140,76677,205368,76677,212309
Cluster 3,20,20,20,16,4,16315230,107834960,16532380,134637150,"Howard University, Le Droit Park, Cardozo/Shaw",0.2,1033274,771,21161,139864,21443,174627
Cluster 25,10,10,10,8,2,39472000,152570320,39657560,155108070,"NoMa, Union Station, Stanton Park, Kingman Park",0.2,4957195,902,43761,169147,43966,171960
Cluster 18,104,104,104,96,8,20315800,98055190,21367470,120644613,"Brightwood Park, Crestwood, Petworth",0.08,222578,718,28295,136567,29760,168029
Cluster 10,1,1,1,1,0,2765160,23747600,2765160,25404980,"Hawthorne, Barnaby Woods, Chevy Chase",0,2765160,160,17282,148423,17282,158781
Cluster 24,166,166,166,166,0,20326280,128251230,20326280,148060360,"Woodridge, Fort Lincoln, Gateway",0,122447,982,20699,130602,20699,150774
Cluster 21,23,23,23,22,1,57511380,168872979,60276180,195912890,"Edgewood, Bloomingdale, Truxton Circle, Eckington",0.04,2739826,1413,40702,119514,42658,138650
Cluster 11,2,2,2,2,0,4475650,31389550,4527850,28185150,"Friendship Heights, American University Park, Tenleytown",0,2263925,214,20914,146680,21158,131706
Cluster 2,162,162,162,158,4,105608760,397487215,108176410,455317110,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",0.02,684661,3743,28215,106195,28901,121645
Cluster 26,8,6,6,6,0,11514360,60148310,11806130,76880430,"Capitol Hill, Lincoln Park",0,1967688,692,16639,86920,17061,111099
Cluster 1,11,10,10,10,1,7597690,35529860,7832320,40445650,"Kalorama Heights, Adams Morgan, Lanier Heights",0.1,783232,378,20100,93994,20720,106999
Cluster 17,32,32,32,26,6,4863830,12525210,5039020,15094890,"Takoma, Brightwood, Manor Park",0.19,193808,170,28611,73678,29641,88793
Cluster 35,1,1,1,1,0,1306740,1598200,1306740,1669860,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",0,1306740,20,65337,79910,65337,83493
Cluster 23,10,10,10,8,2,10841720,65751870,11067560,91716770,"Ivy City, Arboretum, Trinidad, Carver Langston",0.2,1383445,1117,9706,58865,9908,82110
Cluster 30,17,14,14,13,1,62651110,101371440,62651110,105960930,"Mayfair, Hillbrook, Mahaning Heights",0.07,4819316,1330,47106,76219,47106,79670
Cluster 22,26,26,26,25,1,19168690,63592380,19259770,77417710,"Brookland, Brentwood, Langdon",0.04,770391,1012,18941,62838,19031,76500
Cluster 9,9,9,9,8,1,59273330,123790090,59516180,123493920,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",0.11,7439523,1646,36011,75207,36158,75027
Cluster 31,6,6,6,6,0,9948710,50446780,11829950,64125890,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",0,1971658,1011,9840,49898,11701,63428
Cluster 34,12,12,12,12,0,3398760,9415230,3413300,9993880,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",0,284442,203,16743,46380,16814,49231
Cluster 36,26,25,25,24,1,21399520,59913780,21397900,57054950,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",0.04,891579,1301,16449,46052,16447,43855
Cluster 39,34,34,34,32,2,63968270,168331362,63968270,174458530,"Congress Heights, Bellevue, Washington Highlands",0.06,1999008,4676,13680,35999,13680,37309
Cluster 19,2,2,2,2,0,1168410,3878690,1168410,4133820,"Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill",0,584205,115,10160,33728,10160,35946
Cluster 37,14,14,14,13,1,20745320,47836830,20987270,50905090,"Sheridan, Barry Farm, Buena Vista",0.07,1614405,1539,13480,31083,13637,33077
Cluster 32,15,13,13,11,3,32309420,68051680,32315040,70990390,"River Terrace, Benning, Greenway, Dupont Park",0.23,2937731,2175,14855,31288,14857,32639
Cluster 14,1,1,1,1,0,195360,488400,233550,583880,"Cathedral Heights, McLean Gardens, Glover Park",0,233550,18,10853,27133,12975,32438
Cluster 33,36,34,34,34,1,12384600,38466770,12143330,39904950,"Capitol View, Marshall Heights, Benning Heights",0.03,357157,1526,8116,25208,7958,26150
Cluster 28,14,14,14,14,0,8494360,16675120,8494360,17435910,Historic Anacostia,0,606740,711,11947,23453,11947,24523
Cluster 38,21,18,18,18,1,28199590,67290490,28203890,71628900,"Douglas, Shipley Terrace",0.06,1566883,3397,8301,19809,8303,21086
Cluster 6,1,1,1,1,0,2541000,4927870,2541000,4967130,"Dupont Circle, Connecticut Avenue/K Street",0,2541000,310,8197,15896,8197,16023
