Nlihc_id,Status,Subsidized,Cat_Expiring,Cat_Failing_Insp,Proj_Name,Proj_Addre,Proj_City,Proj_ST,Proj_Zip,Proj_Units_Tot,Proj_Units_Assist_Min,Proj_Units_Assist_Max,Hud_Own_Effect_dt,Hud_Own_Name,Hud_Own_Type,Hud_Mgr_Name,Hud_Mgr_Type,Subsidy_Start_First,Subsidy_Start_Last,Subsidy_End_First,Subsidy_End_Last,Ward2012,PBCA,Anc2012,Psa2012,Geo2010,Cluster_tr2000,Cluster_tr2000_name,Zip,Proj_image_url,Proj_streetview_url,Proj_address_id,Proj_x,Proj_y,Proj_lat,Proj_lon,Bldg_count,Update_Dtm,Subsidy_info_source_property,contract_number,Nlihc_id,Category_Code,Cat_At_Risk,Cat_More_Info,Cat_Lost,Cat_Replaced
NL000001,Active,Yes,Yes,No,1330 7th St Apts (Immaculate Conception),1330 7th Street NW,Washington,DC,20001,137,136,137,01/30/2004,1330 7th Street Limited Partnership,Limited dividend,Edgewood Management Corporation,Profit motivated,01/01/2004,07/01/2005,03/01/2020,05/01/2045,Ward 6,Yes,ANC 6E,PSA 308,Tract 49.02,Cluster 7,"Shaw, Logan Circle",ZIP 20001,http://citizenatlas.dc.gov/mobilevideo/20040926/QQ112940.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.90811789,-77.0221966&cbp=11,268.61496892357,,0,2.09",238401,398074.8,137806.65,38.90811789,-77.0221966,1,01MAR16:15:34:26,0000004230,DC39M000025,NL000001,5 - Other Subsidized Property,No,No,No,No
NL000004,Active,Yes,Yes,No,Parkfair Apts,1611 Park Road NW,Washington,DC,20010,31,25,25,,Victory Housing,,,Individual,05/06/2005,05/06/2005,05/06/2020,05/06/2020,Ward 1,No,ANC 1D,PSA 408,Tract 27.01,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",ZIP 20010,http://citizenatlas.dc.gov/mobilevideo/20040919/DJ080511.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.93209086,-77.03705918&cbp=11,43.4024928305739,,0,2.09",233583,396786.79,140468.27,38.93209086,-77.03705918,1,03SEP15:17:34:41,,,NL000004,5 - Other Subsidized Property,No,No,No,No
NL000006,Active,Yes,Yes,No,1728 W St SE,1728 W Street SE,Washington,DC,20020,15,15,15,,"Cih Bolling View, Lp",,,Individual,01/01/2004,01/01/2004,01/01/2034,01/01/2034,Ward 8,No,ANC 8A,PSA 701,Tract 75.04,Cluster 28,Historic Anacostia,ZIP 20020,http://citizenatlas.dc.gov/mobilevideo/20040824/DO103928.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.862912,-76.97960778&cbp=11,36.2251352869827,,0,2.09",56983,401769.82,132788.41,38.862912,-76.97960778,1,03SEP15:17:34:41,,,NL000006,5 - Other Subsidized Property,No,No,No,No
NL000008,Active,Yes,No,No,2721 Pennsylvania Ave SE,2721 Pennsylvania Avenue SE,Washington,DC,20020,6,6,6,,Green Door,,,Individual,,,,,Ward 7,No,ANC 7B,PSA 607,Tract 76.04,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",ZIP 20020,http://citizenatlas.dc.gov/mobilevideo/20041024/OO092328.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.87214315,-76.96816372&cbp=11,197.768729185275,,0,2.09",45042,402762.68,133813.42,38.87214315,-76.96816372,1,03SEP15:17:34:41,,,NL000008,5 - Other Subsidized Property,No,No,No,No
NL000010,Active,Yes,Yes,No,3471 14th Street NW,3471 14th Street NW,Washington,DC,20010,4,4,4,,Green Door,,,Individual,09/01/2004,09/01/2004,09/01/2044,09/01/2044,Ward 1,No,ANC 1A,PSA 409,Tract 29,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",ZIP 20010,http://citizenatlas.dc.gov/mobilevideo/20040817/DH074140.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.93429107,-77.03244037&cbp=11,76.8329307568203,,0,2.09",230775,397187.35,140712.36,38.93429107,-77.03244037,1,03SEP15:17:34:41,,,NL000010,5 - Other Subsidized Property,No,No,No,No
NL000014,Active,Yes,No,No,5320 8th St NW,5320 8th Street NW,Washington,DC,20011,36,36,36,,BHI International,,,Individual,,,,,Ward 4,No,ANC 4D,PSA 403,Tract 21.01,Cluster 18,"Brightwood Park, Crestwood, Petworth",ZIP 20011,http://citizenatlas.dc.gov/mobilevideo/20040718/MI093900.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.95492273,-77.02436573&cbp=11,259.86833802421,,0,2.09",254710,397888.05,143002.44,38.95492273,-77.02436573,1,03SEP15:17:34:41,,,NL000014,5 - Other Subsidized Property,No,No,No,No
NL000015,Active,Yes,No,No,5401-5407 9th St NW,5401 9th Street NW; 5403 9th Street NW; 5405 9th Street NW; others,Washington,DC,20011,34,34,34,,BHI International,,,Individual,,,,,Ward 4,No,ANC 4D,PSA 403,Tract 21.01,Cluster 18,"Brightwood Park, Crestwood, Petworth",ZIP 20011,http://citizenatlas.dc.gov/mobilevideo/20040718/MI120421.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.95557199,-77.02545494&cbp=11,80.9068605797869,,0,2.09",276108,397798.4375,143063.8175,38.95547541,-77.02539979,4,03SEP15:17:34:41,,,NL000015,5 - Other Subsidized Property,No,No,No,No
NL000016,Active,Yes,Yes,No,636 Cooperative Apts,636 12th Street NE,Washington,DC,20002,16,16,16,,636 Cooperative Association,,,Individual,06/01/2000,07/01/2000,06/01/2015,05/01/2040,Ward 6,No,ANC 6A,PSA 104,Tract 84.02,Cluster 25,"NoMa, Union Station, Stanton Park, Kingman Park",ZIP 20002,http://citizenatlas.dc.gov/mobilevideo/20040825/MP105007.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.8983742,-76.99061073&cbp=11,263.710538436296,,0,2.09",2323,400814.48,136724.83,38.8983742,-76.99061073,1,01MAR16:15:34:26,0000007431,,NL000016,5 - Other Subsidized Property,No,No,No,No
NL000017,Active,Yes,Yes,No,Piney Branch House,6411 Piney Branch Road NW,Washington,DC,20012,6,6,6,,"Green Door, Inc.",,,Individual,04/01/2006,04/01/2006,04/01/2046,04/01/2046,Ward 4,No,ANC 4B,PSA 402,Tract 19.01,Cluster 17,"Takoma, Brightwood, Manor Park",ZIP 20012,http://citizenatlas.dc.gov/mobilevideo/20040612/DC133614.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.96779768,-77.02644129&cbp=11,140.451671124253,,0,2.09",254029,397708.56,144431.73,38.96779768,-77.02644129,1,03SEP15:17:34:41,,,NL000017,5 - Other Subsidized Property,No,No,No,No
NL000020,Active,Yes,Yes,No,Agape Apts,209 Atlantic Street SE,Washington,DC,20032,11,11,11,,Residing in Group Housing Together,,,Individual,06/16/2005,06/16/2005,06/16/2020,06/16/2020,Ward 8,No,ANC 8D,PSA 708,Tract 98.10,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",ZIP 20032,http://citizenatlas.dc.gov/mobilevideo/20041014/OE081848.jpg,"http://maps.google.com/maps?z=16&layer=c&cbll=38.83070613,-77.0031013&cbp=11,39.2458536402051,,0,2.09",51958,399730.72,129213.14,38.83070613,-77.0031013,1,03SEP15:17:34:41,,,NL000020,5 - Other Subsidized Property,No,No,No,No
