nlihc_id,subsidy_id,units_assist,poa_start,poa_end,contract_number,rent_to_fmr_description,subsidy_active,subsidy_info_source_id,subsidy_info_source,subsidy_info_source_date,update_dtm,program,compl_end,poa_end_prev,agency,poa_start_orig,portfolio,subsidy_info_source_property,poa_end_actual
NL000001,1,136,2004-01-01,2034-01-01,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,2019-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,2004-01-01,LIHTC,,N
NL000001,2,50,2004-11-01,2024-10-31,DC39L000008,Between 141% & 160% FMR,Yes,800003741/DC39L000008,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 loan management set-aside,2024-10-31,9/30/2024,US Dept of Housing and Urban Development,2004-10-01,Project-based section 8,800003741,N
NL000001,3,84,2004-10-01,2024-09-30,DC39M000025,Between 141% & 160% FMR,Yes,800003741/DC39M000025,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 loan management set-aside,2024-09-30,,US Dept of Housing and Urban Development,2004-10-01,Project-based section 8,800003741,N
NL000001,4,119,2005-03-01,2020-03-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,2020-03-01,,DC,2005-03-01,Tax exempt bond,,N
NL000001,5,119,2005-03-01,2045-03-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,2045-03-01,,DC,2005-03-01,DC housing production trust fund,,N
NL000001,6,136,2004-02-01,2045-05-01,,,Yes,98041,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 542(c) HFA Risk Sharing-Recent Comp,2045-05-01,,US Dept of Housing and Urban Development,2005-07-01,HUD-insured mortgage,4230,N
NL000004,1,25,2005-05-06,2020-05-06,,,Yes,,HUD/OCPD,3/31/2007,04SEP15:08:54:57,HOME,2020-05-06,,US Dept of Housing and Urban Development,2005-05-06,HOME,,N
NL000006,1,,,,,,Yes,,DC/HFAPIPELINE,1/2/2008,04SEP15:08:54:57,McKinney Vento Act loan,,,DC,,McKinney Vento,,N
NL000006,2,15,2004-01-01,2034-01-01,,,Yes,,HUD/LIHTC,1/15/2008,04SEP15:08:54:57,Low income housing tax credit,2019-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,2004-01-01,LIHTC,,N
NL000008,1,6,,,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,,,DC,,DC housing production trust fund,,N
NL000010,1,4,,,,,Yes,,DCHA Document,2/1/2011,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000010,2,4,2004-09-01,2044-09-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,2044-09-01,,DC,2004-09-01,DC housing production trust fund,,N
NL000014,1,36,,,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,,,DC,,CDBG,,N
NL000015,1,34,,,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,,,DC,,CDBG,,N
NL000016,1,16,2000-06-01,2015-06-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,2015-06-01,,DC,2000-06-01,Tax exempt bond,,N
NL000016,2,16,2000-06-01,2020-06-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,2020-06-01,,DC,2000-06-01,CDBG,,N
NL000016,3,16,2000-06-01,2040-05-01,,,Yes,98011,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 542(c) HFA Risk Sharing-Existing,2040-05-01,,US Dept of Housing and Urban Development,2000-07-01,HUD-insured mortgage,7431,N
NL000017,1,6,2006-04-01,2046-04-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,2046-04-01,,DC,2006-04-01,DC housing production trust fund,,N
NL000020,1,11,2005-06-16,2020-06-16,,,Yes,,HUD/OCPD,3/31/2007,04SEP15:08:54:57,HOME,2020-06-16,,US Dept of Housing and Urban Development,2005-06-16,HOME,,N
NL000021,1,95,,,,,Yes,,DC/AFFPIPELINE,2/1/2008,04SEP15:08:54:57,DC housing production trust fund,,,DC,,DC housing production trust fund,,N
NL000021,2,95,2011-10-21,2031-10-20,DC39T871003,Between 80% & 100% FMR,Yes,800003669/DC39T871003,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 202 new construction,2031-10-20,,US Dept of Housing and Urban Development,1991-10-21,Section 202/811,800003669,N
NL000021,3,96,1992-07-01,2032-06-01,,,Yes,,HUD - Active 202/811 Loans,10/1/2009,04SEP15:08:54:57,Sec 202/8 direct loan/elderly-handicapped,2032-06-01,,US Dept of Housing and Urban Development,1992-07-01,Section 202/811,,N
NL000021,4,96,2009-05-01,2044-05-01,,,Yes,11196,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 207/223(f) Pur/Refin Hsg.,2044-05-01,,US Dept of Housing and Urban Development,2009-06-01,HUD-insured mortgage,17826,N
NL000023,1,12,1982-05-01,2021-10-01,,,Yes,,HUD - Active 202/811 Loans,10/1/2009,04SEP15:08:54:57,Sec 202/8 direct loan/elderly-handicapped,2021-10-01,,US Dept of Housing and Urban Development,1982-05-01,Section 202/811,,N
NL000023,2,9,2014-12-21,2019-12-20,DC39T792003,Between 80% & 100% FMR,Yes,800003671/DC39T792003,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 202 substantial rehabilitation,2019-12-20,,US Dept of Housing and Urban Development,2001-12-21,Section 202/811,800003671,N
NL000026,1,147,1983-01-01,2022-12-01,,,Yes,,HUD - Active 202/811 Loans,10/1/2009,04SEP15:08:54:57,Sec 202/8 direct loan/elderly-handicapped,2022-12-01,,US Dept of Housing and Urban Development,1983-01-01,Section 202/811,,N
NL000026,2,146,2013-11-01,2033-10-31,DC392764201,Between 80% & 100% FMR,Yes,800003672/DC392764201,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 202 substantial rehabilitation,2033-10-31,,US Dept of Housing and Urban Development,2008-09-01,Section 202/811,800003672,N
NL000026,3,147,2008-11-01,2043-11-01,,,Yes,11193,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 207/223(f) Pur/Refin Hsg.,2043-11-01,,US Dept of Housing and Urban Development,2008-12-01,HUD-insured mortgage,32,N
NL000027,1,105,2000-07-01,2015-07-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,2015-07-01,,DC,2000-07-01,Tax exempt bond,,N
NL000027,2,105,2001-01-01,2031-01-01,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,2016-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,2001-01-01,LIHTC,,N
NL000028,1,108,2015-06-25,2034-06-24,DC390007006,Below 80% FMR,Yes,800003673/DC390007006,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 substantial rehabilitation,2034-06-24,6/30/2024,US Dept of Housing and Urban Development,1983-04-06,Project-based section 8,800003673,N
NL000028,2,108,2004-07-01,2026-07-01,,,No,35431,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 223(a)(7)/221(d)(3) MKT Refi/Moderate Income,2026-07-01,,US Dept of Housing and Urban Development,2004-08-01,HUD-insured mortgage,3828,10/20/2015
NL000029,1,196,1989-01-01,2019-01-01,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,2004-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1989-01-01,LIHTC,,N
NL000029,2,196,2015-10-28,2034-10-27,DC39M000099,Below 80% FMR,Yes,800025410/DC39M000099,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 substantial rehabilitation,2034-10-27,10/31/2024,US Dept of Housing and Urban Development,2004-11-01,Project-based section 8,800025410,N
NL000029,3,196,2004-11-01,2029-11-01,,,No,94145,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 223(a)(7)/221(d)(4) MKT/244 Refi/Mod Income Co-In,2029-11-01,,US Dept of Housing and Urban Development,2004-12-01,HUD-insured mortgage,3426,10/20/2015
NL000031,1,92,,,,,Yes,,DC/HSNGDAT,5/1/2008,04SEP15:08:54:57,Tax exempt bond,,,DC,,Tax exempt bond,,N
NL000031,2,91,1977-07-01,2017-07-01,,,No,44225,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 236(j)(1)/Lower Income Families,2017-07-01,,US Dept of Housing and Urban Development,1977-08-01,HUD-insured mortgage,,11/13/2006
NL000031,3,18,2006-12-01,2026-11-30,DC39M000060,Between 80% & 100% FMR,Yes,800003674/DC39M000060,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 loan management set-aside,2026-11-30,,US Dept of Housing and Urban Development,2006-12-01,Project-based section 8,800003674,N
NL000031,4,74,2007-01-01,2037-01-01,,,Yes,,HUD/LIHTC,2/16/2010,04SEP15:08:54:57,Low income housing tax credit,2022-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,2007-01-01,LIHTC,,N
NL000032,1,348,2000-09-01,2020-09-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,2020-09-01,,DC,2000-09-01,CDBG,,N
NL000033,1,126,,,,,Yes,,DC/AFFPIPELINE,2/1/2008,04SEP15:08:54:57,DC housing production trust fund,,,DC,,DC housing production trust fund,,N
NL000033,2,50,,,,,Yes,,DCHA Document,4/12/2016,10OCT16:14:09:26,Project-based vouchers,,,DCHA,,Project-based vouchers,,N
NL000033,3,124,2001-01-01,2031-01-01,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,2016-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,2001-01-01,LIHTC,,N
NL000033,4,124,2001-04-01,2016-04-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,2016-04-01,,DC,2001-04-01,Tax exempt bond,,N
NL000034,1,439,,,,,Yes,,APSH,6/16/2016,10OCT16:14:09:26,Public housing,,,DC Housing Authority,,Public housing,,N
NL000035,1,24,1984-08-02,2006-08-31,,,No,800003703/,HUD/Multifamily Assistance and Section 8 Contracts,5/1/2007,31AUG15:18:10:28,Sec 8 substantial rehabilitation,2006-08-31,,US Dept of Housing and Urban Development,1984-08-02,Project-based section 8,800003703,U
NL000036,1,18,2001-05-01,2021-04-30,DC390010018,Below 80% FMR,Yes,800003678/DC390010018,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 substantial rehabilitation,2021-04-30,,US Dept of Housing and Urban Development,2001-05-01,Project-based section 8,800003678,N
NL000037,1,273,2002-01-17,2032-01-17,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,2017-01-17,,DC Dept of Housing and Community Development; DC Housing Finance Agency,2002-01-17,LIHTC,,N
NL000037,2,275,2003-01-01,2018-01-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,2018-01-01,,DC,2003-01-01,Tax exempt bond,,N
NL000037,3,275,2003-06-01,2040-06-01,,,No,35388,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 221(d)(4) Mkt. Rate Mod Inc/Disp Fams,2040-06-01,,US Dept of Housing and Urban Development,2003-07-01,HUD-insured mortgage,6627,7/30/2012
NL000037,4,275,2012-08-01,2044-08-01,,,Yes,35495,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 223(a)(7)/221(d)(4) MKT Refi/Moderate Income,2044-08-01,,,,HUD-insured mortgage,6627,N
NL000038,1,97,2016-09-01,2021-08-31,DC390005009,Below 80% FMR,Yes,800003679/DC390005009,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 new construction,2021-08-31,8/31/2016,US Dept of Housing and Urban Development,2006-09-01,Project-based section 8,800003679,N
NL000039,1,148,2015-05-24,2035-05-23,DC39H001003,Between 80% & 100% FMR,Yes,800003680/DC39H001003,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 housing finance agency substantial rehabilitation,2035-05-23,5/31/2025,US Dept of Housing and Urban Development,2005-06-01,Project-based section 8,800003680,N
NL000039,2,148,2005-06-01,2030-06-01,,,No,35439,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 223(a)(7)/221(d)(4) MKT Refi/Moderate Income,2030-06-01,,US Dept of Housing and Urban Development,2005-07-01,HUD-insured mortgage,2830,12/10/2015
NL000040,1,193,2015-12-01,2035-11-30,DC39E000003,Below 80% FMR,Yes,800003681/DC39E000003,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 property disposition existing,2035-11-30,11/30/2015,US Dept of Housing and Urban Development,1995-09-29,Project-based section 8,800003681,N
NL000041,1,86,2012-03-24,2032-03-23,DC39E000005,Between 80% & 100% FMR,Yes,800025216/DC39E000005,HUD/Multifamily Assistance and Section 8 Contracts,2/27/2017,06MAR17:15:08:39,Sec 8 property disposition existing,2032-03-23,,US Dept of Housing and Urban Development,1995-09-29,Project-based section 8,800025216,N
NL000041,2,86,1997-01-01,2027-01-01,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,2012-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1997-01-01,LIHTC,,N
NL000043,1,284,,,,,Yes,,APSH,6/16/2016,10OCT16:14:09:26,Public housing,,,DC Housing Authority,,Public housing,,N
NL000044,1,126,2004-01-01,2034-01-01,,,Yes,,HUD/LIHTC,4/30/2009,04SEP15:08:54:57,Low income housing tax credit,2019-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,2004-01-01,LIHTC,,N
NL000045,1,126,2004-12-01,2019-12-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,2019-12-01,,DC,2004-12-01,Tax exempt bond,,N
NL000045,2,126,2004-11-01,2044-11-01,,,No,35402,HUD/Insured Multifamily Mortgages,1/31/2017,06MAR17:15:06:20,Sec 221(d)(4) Mkt. Rate Mod Inc/Disp Fams,2044-11-01,,US Dept of Housing and Urban Development,2004-12-01,HUD-insured mortgage,5228,10/29/2013
NL000045,3,126,2004-12-01,2044-12-01,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,2044-12-01,,DC,2004-12-01,DC housing production trust fund,,N
NL000045,4,126,2005-01-01,2035-01-01,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,2020-01-01,,DC Dept of Housing and Community Development; DC Housing Finance Agency,2005-01-01,LIHTC,,N
