location,item,itemCategory,rank
20001,Tito's Handmade Vodka,Liquor,1
20001,Smirnoff No. 22,Liquor,2
20001,Miller Lite,Beer,3
20001,Stella Artois,Beer,4
20001,Jameson Irish Whiskey,Liquor,5
20001,Tanqueray Dry Gin,Liquor,6
20001,Bud Light,Beer,7
20001,Coors Light,Beer,8
20001,Svedka Vodka,Liquor,9
20001,La Marca Prosecco ,Wine,10
20002,Grey Goose Vodka,Liquor,1
20002,Tito's Handmade Vodka,Liquor,2
20002,Svedka Vodka,Liquor,3
20002,Smirnoff No. 23,Liquor,4
20002,Stella Artois,Beer,5
20002,Black Box Cabernet Sauv.,Wine,6
20002,Fireball Cinnamon Whisky,Liquor,7
20002,Alamos Malbec,Wine,8
20002,Evan Williams Black,Liquor,9
20002,New Amsterdam Gin,Liquor,10
20003,Svedka Vodka,Liquor,1
20003,Tito's Handmade Vodka,Liquor,2
20003,Black Box Pinot Grigio,Wine,3
20003,Crown Royal,Liquor,4
20003,Miller Lite,Beer,5
20003,Black Box Sauv. Blanc,Wine,6
20003,Victory Golden Monkey,Beer,7
20003,Bud Light,Beer,8
20003,Black Box Chardonnay,Wine,9
20003,Avalon Cabernet Sauv.,Wine,10
20004,Avalon Cabernet Sauv.,Wine,1
20004,Smirnoff No. 24,Liquor,2
20004,Coors Light,Beer,3
20004,21st Amendment Black IPA,Beer,4
20004,Apothic Red Blend,Wine,5
20004,Bulleit Bourbon,Liquor,6
20004,Johnnie Walker Black Label,Liquor,7
20004,Stella Artois,Beer,8
20004,DC Brau Brau Pils,Beer,9
20004,Cupcake Sauv. Blanc,Wine,10
20005,Miller Lite,Beer,1
20005,Coors Light,Beer,2
20005,Tanqueray Dry Gin,Liquor,3
20005,Heineken Lager,Beer,4
20005,Stella Artois,Beer,5
20005,Tito's Handmade Vodka,Liquor,6
20005,Fireball Cinnamon Whisky,Liquor,7
20005,Bud Light,Beer,8
20005,Blue Moon Belgian White,Beer,9
20005,Yuengling Lager,Beer,10
20006,Tito's Handmade Vodka,Liquor,1
20006,Corona Extra,Beer,2
20006,Svedka Vodka,Liquor,3
20006,Absolut Vodka,Liquor,4
20006,Angry Orchard Cider,Beer,5
20006,Blue Moon Belgian White,Beer,6
20006,Flying Dog Variety Pack,Beer,7
20006,Stella Artois,Beer,8
20006,Yuengling Lager,Beer,9
20006,Dogfish Head 60 Minute IPA,Beer,10
20007,Tito's Handmade Vodka,Liquor,1
20007,Natural Light,Beer,2
20007,Crispin English Cider,Beer,3
20007,Miller Lite,Beer,4
20007,Bud Light,Beer,5
20007,Omission Pale Ale,Beer,6
20007,Coors Light,Beer,7
20007,Svedka Vodka,Liquor,8
20007,Captain Morgan Spiced Rum,Liquor,9
20007,Stella Artois,Beer,10
20008,Svedka Vodka,Liquor,1
20008,Tito's Handmade Vodka,Liquor,2
20008,Alamos Malbec,Wine,3
20008,Yuengling Lager,Beer,4
20008,Smirnoff No. 21,Liquor,5
20008,Stella Artois,Beer,6
20008,Victory Golden Monkey,Beer,7
20008,Yellow Tail Cabernet Sauv.,Wine,8
20008,Bud Light Platinum,Beer,9
20008,Black Box Cabernet Sauv.,Wine,10
20009,Svedka Vodka,Liquor,1
20009,Tito's Handmade Vodka,Liquor,2
20009,Bud Light,Beer,3
20009,Johnnie Walker Red Label,Liquor,4
20009,Miller Lite,Beer,5
20009,Jim Beam,Liquor,6
20009,Alamos Malbec,Wine,7
20009,Bulleit Bourbon,Liquor,8
20009,Guinness Draught,Beer,9
20009,Dogfish Head 60 Minute IPA,Beer,10
20010,Dewars White Label,Liquor,1
