census_tract,acs_remove_state_county,dc_tract_code,prescat_code
"11001000101","000101","1.01","DC Tract 1.01"
"11001000102","000102","1.02","DC Tract 1.02"
"11001000201","000201","2.01","DC Tract 2.01"
"11001000202","000202","2.02","DC Tract 2.02"
"11001000300","000300","3","DC Tract 3"
"11001000400","000400","4","DC Tract 4"
"11001000501","000501","5.01","DC Tract 5.01"
"11001000502","000502","5.02","DC Tract 5.02"
"11001000600","000600","6","DC Tract 6"
"11001000702","000702","7.02","DC Tract 7.02"
"11001000703","000703","7.03","DC Tract 7.03"
"11001000704","000704","7.04","DC Tract 7.04"
"11001000802","000802","8.02","DC Tract 8.02"
"11001000803","000803","8.03","DC Tract 8.03"
"11001000804","000804","8.04","DC Tract 8.04"
"11001000902","000902","9.02","DC Tract 9.02"
"11001000903","000903","9.03","DC Tract 9.03"
"11001000904","000904","9.04","DC Tract 9.04"
"11001001002","001002","10.02","DC Tract 10.02"
"11001001003","001003","10.03","DC Tract 10.03"
"11001001004","001004","10.04","DC Tract 10.04"
"11001001100","001100","11","DC Tract 11"
"11001001200","001200","12","DC Tract 12"
"11001001301","001301","13.01","DC Tract 13.01"
"11001001303","001303","13.03","DC Tract 13.03"
"11001001304","001304","13.04","DC Tract 13.04"
"11001001401","001401","14.01","DC Tract 14.01"
"11001001402","001402","14.02","DC Tract 14.02"
"11001001500","001500","15","DC Tract 15"
"11001001600","001600","16","DC Tract 16"
"11001001702","001702","17.02","DC Tract 17.02"
"11001001803","001803","18.03","DC Tract 18.03"
"11001001804","001804","18.04","DC Tract 18.04"
"11001001901","001901","19.01","DC Tract 19.01"
"11001001902","001902","19.02","DC Tract 19.02"
"11001002001","002001","20.01","DC Tract 20.01"
"11001002002","002002","20.02","DC Tract 20.02"
"11001002101","002101","21.01","DC Tract 21.01"
"11001002102","002102","21.02","DC Tract 21.02"
"11001002201","002201","22.01","DC Tract 22.01"
"11001002202","002202","22.02","DC Tract 22.02"
"11001002301","002301","23.01","DC Tract 23.01"
"11001002302","002302","23.02","DC Tract 23.02"
"11001002400","002400","24","DC Tract 24"
"11001002501","002501","25.01","DC Tract 25.01"
"11001002503","002503","25.03","DC Tract 25.03"
"11001002504","002504","25.04","DC Tract 25.04"
"11001002600","002600","26","DC Tract 26"
"11001002702","002702","27.02","DC Tract 27.02"
"11001002703","002703","27.03","DC Tract 27.03"
"11001002704","002704","27.04","DC Tract 27.04"
"11001002801","002801","28.01","DC Tract 28.01"
"11001002802","002802","28.02","DC Tract 28.02"
"11001002900","002900","29","DC Tract 29"
"11001003000","003000","30","DC Tract 30"
"11001003100","003100","31","DC Tract 31"
"11001003200","003200","32","DC Tract 32"
"11001003301","003301","33.01","DC Tract 33.01"
"11001003302","003302","33.02","DC Tract 33.02"
"11001003400","003400","34","DC Tract 34"
"11001003500","003500","35","DC Tract 35"
"11001003600","003600","36","DC Tract 36"
"11001003701","003701","37.01","DC Tract 37.01"
"11001003702","003702","37.02","DC Tract 37.02"
"11001003801","003801","38.01","DC Tract 38.01"
"11001003802","003802","38.02","DC Tract 38.02"
"11001003901","003901","39.01","DC Tract 39.01"
"11001003902","003902","39.02","DC Tract 39.02"
"11001004001","004001","40.01","DC Tract 40.01"
"11001004002","004002","40.02","DC Tract 40.02"
"11001004100","004100","41","DC Tract 41"
"11001004201","004201","42.01","DC Tract 42.01"
"11001004202","004202","42.02","DC Tract 42.02"
"11001004300","004300","43","DC Tract 43"
"11001004401","004401","44.01","DC Tract 44.01"
"11001004402","004402","44.02","DC Tract 44.02"
"11001004600","004600","46","DC Tract 46"
"11001004702","004702","47.02","DC Tract 47.02"
"11001004703","004703","47.03","DC Tract 47.03"
"11001004704","004704","47.04","DC Tract 47.04"
"11001004801","004801","48.01","DC Tract 48.01"
"11001004802","004802","48.02","DC Tract 48.02"
"11001004901","004901","49.01","DC Tract 49.01"
"11001004902","004902","49.02","DC Tract 49.02"
"11001005001","005001","50.01","DC Tract 50.01"
"11001005003","005003","50.03","DC Tract 50.03"
"11001005004","005004","50.04","DC Tract 50.04"
"11001005202","005202","52.02","DC Tract 52.02"
"11001005203","005203","52.03","DC Tract 52.03"
"11001005302","005302","53.02","DC Tract 53.02"
"11001005303","005303","53.03","DC Tract 53.03"
"11001005501","005501","55.01","DC Tract 55.01"
"11001005502","005502","55.02","DC Tract 55.02"
"11001005503","005503","55.03","DC Tract 55.03"
"11001005601","005601","56.01","DC Tract 56.01"
"11001005602","005602","56.02","DC Tract 56.02"
"11001005801","005801","58.01","DC Tract 58.01"
"11001005802","005802","58.02","DC Tract 58.02"
"11001005900","005900","59","DC Tract 59"
"11001006400","006400","64","DC Tract 64"
"11001006500","006500","65","DC Tract 65"
"11001006600","006600","66","DC Tract 66"
"11001006700","006700","67","DC Tract 67"
"11001006801","006801","68.01","DC Tract 68.01"
"11001006802","006802","68.02","DC Tract 68.02"
"11001006804","006804","68.04","DC Tract 68.04"
"11001006900","006900","69","DC Tract 69"
"11001007000","007000","70","DC Tract 70"
"11001007100","007100","71","DC Tract 71"
"11001007201","007201","72.01","DC Tract 72.01"
"11001007202","007202","72.02","DC Tract 72.02"
"11001007203","007203","72.03","DC Tract 72.03"
"11001007301","007301","73.01","DC Tract 73.01"
"11001007304","007304","73.04","DC Tract 73.04"
"11001007401","007401","74.01","DC Tract 74.01"
"11001007403","007403","74.03","DC Tract 74.03"
"11001007404","007404","74.04","DC Tract 74.04"
"11001007406","007406","74.06","DC Tract 74.06"
"11001007407","007407","74.07","DC Tract 74.07"
"11001007408","007408","74.08","DC Tract 74.08"
"11001007409","007409","74.09","DC Tract 74.09"
"11001007502","007502","75.02","DC Tract 75.02"
"11001007503","007503","75.03","DC Tract 75.03"
"11001007504","007504","75.04","DC Tract 75.04"
"11001007601","007601","76.01","DC Tract 76.01"
"11001007603","007603","76.03","DC Tract 76.03"
"11001007604","007604","76.04","DC Tract 76.04"
"11001007605","007605","76.05","DC Tract 76.05"
"11001007703","007703","77.03","DC Tract 77.03"
"11001007707","007707","77.07","DC Tract 77.07"
"11001007708","007708","77.08","DC Tract 77.08"
"11001007709","007709","77.09","DC Tract 77.09"
"11001007803","007803","78.03","DC Tract 78.03"
"11001007804","007804","78.04","DC Tract 78.04"
"11001007806","007806","78.06","DC Tract 78.06"
"11001007807","007807","78.07","DC Tract 78.07"
"11001007808","007808","78.08","DC Tract 78.08"
"11001007809","007809","78.09","DC Tract 78.09"
"11001007901","007901","79.01","DC Tract 79.01"
"11001007903","007903","79.03","DC Tract 79.03"
"11001008001","008001","80.01","DC Tract 80.01"
"11001008002","008002","80.02","DC Tract 80.02"
"11001008100","008100","81","DC Tract 81"
"11001008200","008200","82","DC Tract 82"
"11001008301","008301","83.01","DC Tract 83.01"
"11001008302","008302","83.02","DC Tract 83.02"
"11001008402","008402","84.02","DC Tract 84.02"
"11001008410","008410","84.10","DC Tract 84.10"
"11001008701","008701","87.01","DC Tract 87.01"
"11001008702","008702","87.02","DC Tract 87.02"
"11001008802","008802","88.02","DC Tract 88.02"
"11001008803","008803","88.03","DC Tract 88.03"
"11001008804","008804","88.04","DC Tract 88.04"
"11001008903","008903","89.03","DC Tract 89.03"
"11001008904","008904","89.04","DC Tract 89.04"
"11001009000","009000","90","DC Tract 90"
"11001009102","009102","91.02","DC Tract 91.02"
"11001009201","009201","92.01","DC Tract 92.01"
"11001009203","009203","92.03","DC Tract 92.03"
"11001009204","009204","92.04","DC Tract 92.04"
"11001009301","009301","93.01","DC Tract 93.01"
"11001009302","009302","93.02","DC Tract 93.02"
"11001009400","009400","94","DC Tract 94"
"11001009503","009503","95.03","DC Tract 95.03"
"11001009504","009504","95.04","DC Tract 95.04"
"11001009505","009505","95.05","DC Tract 95.05"
"11001009507","009507","95.07","DC Tract 95.07"
"11001009508","009508","95.08","DC Tract 95.08"
"11001009509","009509","95.09","DC Tract 95.09"
"11001009510","009510","95.10","DC Tract 95.10"
"11001009511","009511","95.11","DC Tract 95.11"
"11001009601","009601","96.01","DC Tract 96.01"
"11001009602","009602","96.02","DC Tract 96.02"
"11001009603","009603","96.03","DC Tract 96.03"
"11001009604","009604","96.04","DC Tract 96.04"
"11001009700","009700","97","DC Tract 97"
"11001009801","009801","98.01","DC Tract 98.01"
"11001009802","009802","98.02","DC Tract 98.02"
"11001009803","009803","98.03","DC Tract 98.03"
"11001009804","009804","98.04","DC Tract 98.04"
"11001009807","009807","98.07","DC Tract 98.07"
"11001009810","009810","98.10","DC Tract 98.10"
"11001009811","009811","98.11","DC Tract 98.11"
"11001009901","009901","99.01","DC Tract 99.01"
"11001009902","009902","99.02","DC Tract 99.02"
"11001009903","009903","99.03","DC Tract 99.03"
"11001009904","009904","99.04","DC Tract 99.04"
"11001009905","009905","99.05","DC Tract 99.05"
"11001009906","009906","99.06","DC Tract 99.06"
"11001009907","009907","99.07","DC Tract 99.07"
"11001010100","010100","101","DC Tract 101"
"11001010201","010201","102.01","DC Tract 102.01"
"11001010202","010202","102.02","DC Tract 102.02"
"11001010300","010300","103","DC Tract 103"
"11001010400","010400","104","DC Tract 104"
"11001010500","010500","105","DC Tract 105"
"11001010601","010601","106.01","DC Tract 106.01"
"11001010602","010602","106.02","DC Tract 106.02"
"11001010603","010603","106.03","DC Tract 106.03"
"11001010700","010700","107","DC Tract 107"
"11001010800","010800","108","DC Tract 108"
"11001010900","010900","109","DC Tract 109"
"11001011001","011001","110.01","DC Tract 110.01"
"11001011002","011002","110.02","DC Tract 110.02"
"11001011100","011100","111","DC Tract 111"
