census_tract,acs_remove_state_county,dc_tract_code,prescat_code
11001000100,000100,1,Tract 1
11001000201,000201,2.01,Tract 2.01
11001000202,000202,2.02,Tract 2.02
11001000300,000300,3,Tract 3
11001000400,000400,4,Tract 4
11001000501,000501,5.01,Tract 5.01
11001000502,000502,5.02,Tract 5.02
11001000600,000600,6,Tract 6
11001000701,000701,7.01,Tract 7.01
11001000702,000702,7.02,Tract 7.02
11001000801,000801,8.01,Tract 8.01
11001000802,000802,8.02,Tract 8.02
11001000901,000901,9.01,Tract 9.01
11001000902,000902,9.02,Tract 9.02
11001001001,001001,10.01,Tract 10.01
11001001002,001002,10.02,Tract 10.02
11001001100,001100,11,Tract 11
11001001200,001200,12,Tract 12
11001001301,001301,13.01,Tract 13.01
11001001302,001302,13.02,Tract 13.02
11001001401,001401,14.01,Tract 14.01
11001001402,001402,14.02,Tract 14.02
11001001500,001500,15,Tract 15
11001001600,001600,16,Tract 16
11001001702,001702,17.02,Tract 17.02
11001001803,001803,18.03,Tract 18.03
11001001804,001804,18.04,Tract 18.04
11001001901,001901,19.01,Tract 19.01
11001001902,001902,19.02,Tract 19.02
11001002001,002001,20.01,Tract 20.01
11001002002,002002,20.02,Tract 20.02
11001002101,002101,21.01,Tract 21.01
11001002102,002102,21.02,Tract 21.02
11001002201,002201,22.01,Tract 22.01
11001002202,002202,22.02,Tract 22.02
11001002301,002301,23.01,Tract 23.01
11001002302,002302,23.02,Tract 23.02
11001002400,002400,24,Tract 24
11001002501,002501,25.01,Tract 25.01
11001002502,002502,25.02,Tract 25.02
11001002600,002600,26,Tract 26
11001002701,002701,27.01,Tract 27.01
11001002702,002702,27.02,Tract 27.02
11001002801,002801,28.01,Tract 28.01
11001002802,002802,28.02,Tract 28.02
11001002900,002900,29,Tract 29
11001003000,003000,30,Tract 30
11001003100,003100,31,Tract 31
11001003200,003200,32,Tract 32
11001003301,003301,33.01,Tract 33.01
11001003302,003302,33.02,Tract 33.02
11001003400,003400,34,Tract 34
