proj_name,cluster_tr2000_name,ward2012,total_subsidized_units
"St. Dennis","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",0
"Cas Associates","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",0
"1919 Calvert Street NW","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",0
"Warner Apartments","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",0
Harvard,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",0
"Van Metre Uptown Apartments (Columbia Uptown)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",90
"Fairmont Square Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",9
"Faircliff Plaza East","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",80
"Totten Towers Apts (Warder Totten House)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",80
"1200 Irving Street, NW","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",8
"The Olympia (Euclid Street Lofts)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",77
"Victory Heights","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",75
"Urban Village","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",72
"New Jubilee II","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",70
"Woodley House","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",6
"Neighborhood Consejo","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",6
"Las Marias Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",59
"Garfield Terrace (Family)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",51
"Oak Street Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",50
"Portner Place","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",48
"1820 California St Cooperative","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",46
"Glenn Arms Apts","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",45
"Columbia Heights Village Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",406
"Casa Iris","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",40
"3471 14th Street NW","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",4
"Christ House (Kairos House)","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",37
"2824 Sherman Ave NW (Coalition For The Homeless)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",37
"Meridian Manor Apts (Archbishop Rivera Y Damas)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",35
"Whitelaw Hotel Apts","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",35
"Williston Apts","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",34
"Tap Program - 14th St, NW","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",32
"Haven House","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",29
"Clifton Terrace (Wardman Court Apts)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",285
"Walbraff Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",28
"Champlain Court Cooperative","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",28
"Quest Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",26
"Parkfair Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",25
"Hubbard Place (Cavalier Apts)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",239
"Columbia Road Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",23
"Garfield Terrace (Senior)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",228
"Crestwood Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",22
"The Covington Family Association Cooperative","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",21
"Fairmont I & II Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",203
"Sunflower House","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",20
"Christopher Price House (Belmont Apts)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",20
"Harvard Towers","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",193
"1429 Girard St","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",19
"Kenyon Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",18
"Samuel J. Simmons NCBA Estates","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",175
"The Avenue (Park Morton)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",174
"Paul Lawrence Dunbar (Campbell Heights)","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",171
"Euclid Street Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",17
"1030 & 1034 Euclid St NW (Euclid Apartments)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",17
"Stoddard Baptist Nurs Home","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",164
"Kelly Miller","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",160
"Mt. Pleasant Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",16
"Samuel Kelsey Apts (Park Road Apts)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",150
"524 Kenyon St NW","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",15
"Chapin Street Apts","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",15
"Hope And A Home","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",14
"Terrific Inn","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",14
"Friendly Neighbors Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",13
"Ontario Terrace","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",13
"Kara House Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",13
"526 Kenyon St NW","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",13
"New Beginnings Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",13
"Ledroit Apts","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",124
"Trinity Towers","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",122
"Claypoole Courts (Parcel Five Apts)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",122
"1327 Kenyon St Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",12
"Jubilee Housing Renovation","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",118
"Faircliff Plaza West","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",112
"1430 Chapin Street, NW","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",11
"Capitol Manor Cooperative","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",102
"Fifteenth Street Cooperative","Howard University, Le Droit Park, Cardozo/Shaw","Ward 2",0
"IDI Facilities","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 2",0
"N Street Village (Eden House)","Shaw, Logan Circle","Ward 2",94
"Plymouth Apts (MLK Jr Latino Cooperative)","Shaw, Logan Circle","Ward 2",74
