nlihhc_id,proj_name,reac_date,reac_score_num,most_recent_date
NL000413,"1030 & 1034 Euclid St NW (Euclid Apartments)","2014-07-16 00:00:00",83,"2014-07-16 00:00:00"
NL000339,"1200 Irving Street, NW","","",""
NL000394,"1204 Talbert St SE","","",""
NL000410,"1249 I St NE","","",""
NL000380,"1314 K St SE","","",""
NL000362,"1327 Kenyon St Cooperative","","",""
NL000001,"1330 7th St Apts (Immaculate Conception)","2013-08-13 00:00:00",94,"2013-08-13 00:00:00"
NL000414,"1425 T Street Cooperative","","",""
NL000368,"1429 Girard St","","",""
NL000336,"1430 Chapin Street, NW","","",""
NL000348,"1724 Minnesota Ave SE","","",""
NL000006,"1728 W St SE","","",""
NL000393,"1820 California St Cooperative","","",""
NL000390,"1836 Central Place NE","","",""
NL001031,"1919 Calvert Street NW","","",""
NL001012,"1st And M","","",""
NL000008,"2721 Pennsylvania Ave SE","","",""
NL000399,"2824 Sherman Ave NW (Coalition For The Homeless)","","",""
NL001021,"2 And M","","",""
NL000010,"3471 14th Street NW","","",""
NL000392,"4180 Livingston Rd SE (Salihi Halefizullah)","","",""
NL000115,"4400 Hunt Pl NE","","",""
NL000391,"4540 Benning Rd SE","","",""
NL000405,"501 32nd St","","",""
NL000396,"5024 H St SE","","",""
NL000404,"5030 First St NW","","",""
NL000409,"524 Kenyon St NW","","",""
NL000379,"526 Kenyon St NW","","",""
NL000408,"5311 8th St NW","","",""
NL000014,"5320 8th St NW","","",""
NL000015,"5401-5407 9th St NW","","",""
NL001033,"54th Street Housing","","",""
NL000016,"636 Cooperative Apts","2014-03-25 00:00:00",94,"2014-03-25 00:00:00"
NL000020,"Agape Apts","","",""
NL000021,"Allen House","2014-06-05 00:00:00",94,"2014-06-05 00:00:00"
NL000023,"Anchor Housing","2014-08-12 00:00:00",88,"2014-08-12 00:00:00"
NL000397,"Anna Cooper House","","",""
NL001016,"Arboretum Place (Resub)","","",""
NL000264,"Arthur Capper Phase I (Capper Senior I)","","",""
NL000026,"Asbury Dwellings","2013-07-31 00:00:00",99,"2013-07-31 00:00:00"
NL000027,"Aspen Court","","",""
NL000370,"A Street Manor Cooperative","","",""
NL000028,"Atlantic Gardens","2012-06-27 00:00:00",90,"2012-06-27 00:00:00"
NL000029,"Atlantic Terrace","2014-05-28 00:00:00",95,"2014-05-28 00:00:00"
NL000337,"Augusta Louisa Apts","","",""
NL000031,"Azeeze Bates","2014-08-29 00:00:00",72,"2014-08-29 00:00:00"
NL000032,"Banneker Place Apts","","",""
NL000033,"Barnaby Manor (The Gregory)","","",""
NL000034,"Barry Farm","","",""
NL000035,"Barry Homes","","",""
NL000364,"Bates Street Townhomes Cooperative","","",""
NL000036,"Beecher Cooperative","2014-03-05 00:00:00",90,"2014-03-05 00:00:00"
NL000037,"Belmont Crossing (Jeffrey Gardens)","2014-08-04 00:00:00",70,"2014-08-04 00:00:00"
