TYPE;CODE;NAME;SHEETS
TRACT;11001000100;1;1,2
TRACT;11001000201;2.01;1
TRACT;11001000202;2.02;1
TRACT;11001000300;3;1
TRACT;11001000400;4;1
TRACT;11001000501;5.01;1
TRACT;11001000502;5.02;1
TRACT;11001000600;6;1
TRACT;11001000701;7.01;1
TRACT;11001000702;7.02;1
TRACT;11001000801;8.01;1
TRACT;11001000802;8.02;1
TRACT;11001000901;9.01;1
TRACT;11001000902;9.02;1
TRACT;11001001001;10.01;1
TRACT;11001001002;10.02;1
TRACT;11001001100;11;1
TRACT;11001001200;12;1
TRACT;11001001301;13.01;1
TRACT;11001001302;13.02;1
TRACT;11001001401;14.01;1
TRACT;11001001402;14.02;1
TRACT;11001001500;15;1
TRACT;11001001600;16;1
TRACT;11001001702;17.02;1
TRACT;11001001803;18.03;1
TRACT;11001001804;18.04;1
TRACT;11001001901;19.01;1
TRACT;11001001902;19.02;1
TRACT;11001002001;20.01;1
TRACT;11001002002;20.02;1
TRACT;11001002101;21.01;1
TRACT;11001002102;21.02;1
TRACT;11001002201;22.01;1
TRACT;11001002202;22.02;1
TRACT;11001002301;23.01;1
TRACT;11001002302;23.02;1
TRACT;11001002400;24;1
TRACT;11001002501;25.01;1
TRACT;11001002502;25.02;1
TRACT;11001002600;26;1
TRACT;11001002701;27.01;1
TRACT;11001002702;27.02;1
TRACT;11001002801;28.01;1
TRACT;11001002802;28.02;1
TRACT;11001002900;29;1
TRACT;11001003000;30;1
TRACT;11001003100;31;1
TRACT;11001003200;32;1
TRACT;11001003301;33.01;1
TRACT;11001003302;33.02;1
TRACT;11001003400;34;1
TRACT;11001003500;35;1
TRACT;11001003600;36;1
TRACT;11001003700;37;1
TRACT;11001003800;38;1
TRACT;11001003900;39;1
TRACT;11001004001;40.01;1
TRACT;11001004002;40.02;1
TRACT;11001004100;41;1
TRACT;11001004201;42.01;1
TRACT;11001004202;42.02;1
TRACT;11001004300;43;1
TRACT;11001004400;44;1
TRACT;11001004600;46;1
TRACT;11001004701;47.01;1
TRACT;11001004702;47.02;1
TRACT;11001004801;48.01;1
TRACT;11001004802;48.02;1
TRACT;11001004901;49.01;1
TRACT;11001004902;49.02;1
TRACT;11001005001;50.01;1
TRACT;11001005002;50.02;1
TRACT;11001005201;52.01;1
TRACT;11001005301;53.01;1
TRACT;11001005500;55;1
TRACT;11001005600;56;1,2
TRACT;11001005800;58;1,2
TRACT;11001005900;59;1,2
TRACT;11001006202;62.02;1,2
TRACT;11001006400;64;2
TRACT;11001006500;65;2
TRACT;11001006600;66;2
TRACT;11001006700;67;2
TRACT;11001006801;68.01;2
TRACT;11001006802;68.02;2
TRACT;11001006804;68.04;1,2
TRACT;11001006900;69;2
TRACT;11001007000;70;2
TRACT;11001007100;71;2
TRACT;11001007200;72;2
TRACT;11001007301;73.01;2
TRACT;11001007304;73.04;2
TRACT;11001007401;74.01;2
TRACT;11001007403;74.03;2
TRACT;11001007404;74.04;2
TRACT;11001007406;74.06;2
TRACT;11001007407;74.07;2
TRACT;11001007408;74.08;2
TRACT;11001007409;74.09;2
TRACT;11001007502;75.02;2
TRACT;11001007503;75.03;2
TRACT;11001007504;75.04;2
TRACT;11001007601;76.01;2
TRACT;11001007603;76.03;2
TRACT;11001007604;76.04;2
TRACT;11001007605;76.05;2
TRACT;11001007703;77.03;2
TRACT;11001007707;77.07;2
TRACT;11001007708;77.08;2
TRACT;11001007709;77.09;2
TRACT;11001007803;78.03;1,2
TRACT;11001007804;78.04;1,2
TRACT;11001007806;78.06;1
TRACT;11001007807;78.07;1
TRACT;11001007808;78.08;1,2
TRACT;11001007809;78.09;1
TRACT;11001007901;79.01;1,2
TRACT;11001007903;79.03;1,2
TRACT;11001008001;80.01;1,2
TRACT;11001008002;80.02;2
TRACT;11001008100;81;1,2
TRACT;11001008200;82;1,2
TRACT;11001008301;83.01;1,2
TRACT;11001008302;83.02;1,2
TRACT;11001008402;84.02;1
