CLUSTER_TR2000,school_present_2000,school_present_2001,school_present_2002,school_present_2003,school_present_2004,school_present_2005,school_present_2006,school_present_2007,school_present_2008,school_present_2009,school_present_2010,school_present_2011,school_present_2012,school_present_2013,dcps_present_2000,dcps_present_2001,dcps_present_2002,dcps_present_2003,dcps_present_2004,dcps_present_2005,dcps_present_2006,dcps_present_2007,dcps_present_2008,dcps_present_2009,dcps_present_2010,dcps_present_2011,dcps_present_2012,dcps_present_2013,charter_present_2000,charter_present_2001,charter_present_2002,charter_present_2003,charter_present_2004,charter_present_2005,charter_present_2006,charter_present_2007,charter_present_2008,charter_present_2009,charter_present_2010,charter_present_2011,charter_present_2012,charter_present_2013,aud_2001,aud_2002,aud_2003,aud_2004,aud_2005,aud_2006,aud_2007,aud_2008,aud_2009,aud_2010,aud_2011,aud_2012,aud_2013,aud_dcps_2001,aud_dcps_2002,aud_dcps_2003,aud_dcps_2004,aud_dcps_2005,aud_dcps_2006,aud_dcps_2007,aud_dcps_2008,aud_dcps_2009,aud_dcps_2010,aud_dcps_2011,aud_dcps_2012,aud_dcps_2013,aud_charter_2001,aud_charter_2002,aud_charter_2003,aud_charter_2004,aud_charter_2005,aud_charter_2006,aud_charter_2007,aud_charter_2008,aud_charter_2009,aud_charter_2010,aud_charter_2011,aud_charter_2012,aud_charter_2013
Cluster 1,4,4,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,3,3,3,3,3,1,1,1,2,0,0,2,2,2,1,1,1,1,1,1913,1972,2140,649,548,666,757,813,1156,1034,1469,1520,1576,1184,1185,1072,649,548,543,599,626,930,1034,1074,1084,1098,729,787,1068,0,0,123,158,187,226,0,395,436,478
Cluster 2,12,12,12,12,20,22,22,22,19,17,17,18,18,18,9,9,9,9,9,10,9,8,6,6,6,6,6,6,3,3,3,3,11,12,13,14,13,11,11,12,12,12,5077,4500,4607,5833,6051,6524,6720,6677,7062,7131,7487,7606,8008,4705,4047,4063,3855,4025,4101,4006,3737,3617,3236,3504,3614,3841,372,453,544,1978,2026,2423,2714,2940,3445,3895,3983,3992,4167
Cluster 3,9,8,8,8,9,11,12,12,9,7,6,7,9,9,4,3,3,3,4,4,4,4,3,2,2,3,3,2,5,5,5,5,5,7,8,8,6,5,4,4,6,7,1891,2037,2128,2502,2446,2404,2332,2093,1924,1483,1954,2216,2548,961,927,910,1209,1141,1043,925,794,562,295,708,709,583,930,1110,1218,1293,1305,1361,1407,1299,1362,1188,1246,1507,1965
Cluster 4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1003,1069,1049,1001,566,698,725,971,1145,1300,1237,1267,1246,1003,1069,1049,1001,566,645,639,971,1145,1300,1237,1267,1246,0,0,0,0,0,53,86,0,0,0,0,0,0
Cluster 5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,326,323,338,338,347,0,0,458,468,527,548,585,328,326,323,338,338,347,0,0,458,468,527,548,585,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 6,4,4,4,4,4,5,5,4,4,4,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,0,0,1027,1016,958,911,971,981,684,644,606,533,512,378,445,926,899,838,793,745,731,559,399,370,388,390,378,445,101,117,120,118,226,250,125,245,236,145,122,0,0
Cluster 7,4,4,4,4,5,5,6,6,7,7,7,6,7,7,4,4,4,4,4,4,4,4,3,3,2,2,2,2,0,0,0,0,1,1,2,2,4,4,5,4,5,5,1722,1670,1559,1635,1514,1418,1182,1718,1817,1743,1573,1762,1826,1722,1670,1559,1483,1309,1159,887,694,662,492,502,484,533,0,0,0,152,205,259,295,1024,1155,1251,1071,1278,1293
Cluster 8,5,5,4,4,4,4,3,2,2,2,2,2,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1300,901,1209,1102,1005,925,671,535,622,753,745,1169,1253,1136,783,1073,956,855,746,671,535,622,753,745,726,743,164,118,136,146,150,179,0,0,0,0,0,443,510
Cluster 9,3,4,3,3,3,4,4,5,4,4,4,5,4,4,3,3,3,3,3,3,3,3,2,2,2,3,2,2,0,1,0,0,0,1,1,2,2,2,2,2,2,2,1860,1610,1492,1421,1251,1158,924,837,701,625,598,656,720,1641,1610,1492,1421,1215,1122,852,765,629,546,517,572,641,219,0,0,0,36,36,72,72,72,79,81,84,79
Cluster 10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,514,537,546,579,595,623,610,634,682,707,689,689,499,514,537,546,579,595,623,610,634,682,707,689,689,0,0,0,0,0,0,0,0,0,0,0,0,0
