Nlihc_id,REAC_date,REAC_score,REAC_score_num,REAC_score_letter,REAC_score_star
NL000001,08/13/2013,94b,94,b,
NL000001,07/18/2012,68b*,68,b,*
NL000001,07/15/2010,82c,82,c,
NL000001,12/18/2003,39c,39,c,
NL000001,09/19/2002,46c*,46,c,*
NL000016,03/25/2014,94c,94,c,
NL000016,11/03/2010,92a,92,a,
NL000016,06/10/2009,77b,77,b,
NL000016,04/09/2008,78c,78,c,
NL000021,06/05/2014,94b,94,b,
NL000021,03/30/2011,93b,93,b,
NL000021,09/27/2006,96b,96,b,
NL000021,08/13/2002,99a,99,a,
NL000023,08/12/2014,88c,88,c,
NL000023,08/08/2012,60c,60,c,
NL000023,08/20/2008,92a,92,a,
NL000023,06/13/2007,65c*,65,c,*
NL000023,01/04/2007,56c,56,c,
NL000026,07/31/2013,99b,99,b,
NL000026,05/23/2012,67c,67,c,
NL000026,09/14/2005,42c*,42,c,*
NL000026,10/07/2004,50c*,50,c,*
NL000028,06/27/2012,90b*,90,b,*
NL000028,06/24/2010,83c,83,c,
NL000028,06/18/2008,81c*,81,c,*
NL000029,05/28/2014,95b,95,b,
NL000029,05/31/2012,82c*,82,c,*
NL000029,05/05/2010,88b,88,b,
NL000029,11/01/2006,91c*,91,c,*
NL000031,08/29/2014,72c*,72,c,*
NL000031,08/22/2012,77c*,77,c,*
NL000031,11/21/2007,87c,87,c,
NL000031,12/29/2005,88c,88,c,
NL000031,12/18/2003,80c*,80,c,*
NL000036,03/05/2014,90c*,90,c,*
NL000036,05/19/2011,67c*,67,c,*
NL000036,09/26/2007,91b,91,b,
NL000036,08/30/2006,69c,69,c,
NL000037,08/04/2014,70c,70,c,
NL000037,09/21/2011,80b,80,b,
NL000037,08/26/2009,83c,83,c,
NL000037,09/27/2006,93c*,93,c,*
NL000038,08/28/2014,75c*,75,c,*
NL000038,09/26/2012,79c*,79,c,*
NL000038,03/11/2009,84c*,84,c,*
NL000038,11/08/2006,81c*,81,c,*
NL000038,12/09/2004,61c*,61,c,*
NL000039,06/05/2014,97a,97,a,
NL000039,06/22/2011,94c*,94,c,*
NL000039,04/22/2009,88c,88,c,
NL000039,04/25/2007,87c,87,c,
NL000040,08/21/2014,90c,90,c,
NL000040,10/17/2012,63c*,63,c,*
