Nlihc_id,Subsidy_id,Units_Assist,POA_start,POA_end,contract_number,rent_to_fmr_description,Subsidy_Active,Subsidy_Info_Source_ID,Subsidy_Info_Source,Subsidy_Info_Source_Date,Update_Dtm,Program,Compl_end,POA_end_prev,Agency,POA_start_orig,Portfolio,Subsidy_info_source_property,POA_end_actual
NL000001,1,136,1/1/2004,1/1/2034,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2019,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2004,LIHTC,,N
NL000001,2,50,11/1/2004,10/31/2024,DC39L000008,Over 160% FMR,Yes,800003741/DC39L000008,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 loan management set-aside,10/31/2024,9/30/2024,US Dept of Housing and Urban Development,10/1/2004,Project-based section 8,800003741,N
NL000001,3,84,10/1/2004,9/30/2024,DC39M000025,Over 160% FMR,Yes,800003741/DC39M000025,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 loan management set-aside,9/30/2024,,US Dept of Housing and Urban Development,10/1/2004,Project-based section 8,800003741,N
NL000001,4,119,3/1/2005,3/1/2020,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,3/1/2020,,DC,3/1/2005,Tax exempt bond,,N
NL000001,5,119,3/1/2005,3/1/2045,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,3/1/2045,,DC,3/1/2005,DC housing production trust fund,,N
NL000001,6,136,2/1/2004,5/1/2045,,,Yes,98041,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 542(c) HFA Risk Sharing-Recent Comp,5/1/2045,,US Dept of Housing and Urban Development,7/1/2005,HUD-insured mortgage,4230,N
NL000004,1,25,5/6/2005,5/6/2020,,,Yes,,HUD/OCPD,3/31/2007,04SEP15:08:54:57,HOME,5/6/2020,,US Dept of Housing and Urban Development,5/6/2005,HOME,,N
NL000006,1,,,,,,Yes,,DC/HFAPIPELINE,1/2/2008,04SEP15:08:54:57,McKinney Vento Act loan,,,DC,,McKinney Vento,,N
NL000006,2,15,1/1/2004,1/1/2034,,,Yes,,HUD/LIHTC,1/15/2008,04SEP15:08:54:57,Low income housing tax credit,1/1/2019,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2004,LIHTC,,N
NL000008,1,6,,,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,,,DC,,DC housing production trust fund,,N
NL000010,1,4,,,,,Yes,,DCHA Document,2/1/2011,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000010,2,4,9/1/2004,9/1/2044,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,9/1/2044,,DC,9/1/2004,DC housing production trust fund,,N
NL000014,1,36,,,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,,,DC,,CDBG,,N
NL000015,1,34,,,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,,,DC,,CDBG,,N
NL000016,1,16,6/1/2000,6/1/2015,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,6/1/2015,,DC,6/1/2000,Tax exempt bond,,N
NL000016,2,16,6/1/2000,6/1/2020,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,6/1/2020,,DC,6/1/2000,CDBG,,N
NL000016,3,16,6/1/2000,5/1/2040,,,Yes,98011,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 542(c) HFA Risk Sharing-Existing,5/1/2040,,US Dept of Housing and Urban Development,7/1/2000,HUD-insured mortgage,7431,N
NL000017,1,6,4/1/2006,4/1/2046,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,DC housing production trust fund,4/1/2046,,DC,4/1/2006,DC housing production trust fund,,N
NL000020,1,11,6/16/2005,6/16/2020,,,Yes,,HUD/OCPD,3/31/2007,04SEP15:08:54:57,HOME,6/16/2020,,US Dept of Housing and Urban Development,6/16/2005,HOME,,N
NL000021,1,95,,,,,Yes,,DC/AFFPIPELINE,2/1/2008,04SEP15:08:54:57,DC housing production trust fund,,,DC,,DC housing production trust fund,,N
NL000021,2,95,10/21/2011,10/20/2031,DC39T871003,Between 101% & 120% FMR,Yes,800003669/DC39T871003,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 202 new construction,10/20/2031,,US Dept of Housing and Urban Development,10/21/1991,Section 202/811,800003669,N
NL000021,3,96,7/1/1992,6/1/2032,,,Yes,,HUD - Active 202/811 Loans,10/1/2009,04SEP15:08:54:57,Sec 202/8 direct loan/elderly-handicapped,6/1/2032,,US Dept of Housing and Urban Development,7/1/1992,Section 202/811,,N
NL000021,4,96,5/1/2009,5/1/2044,,,Yes,11196,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 207/223(f) Pur/Refin Hsg.,5/1/2044,,US Dept of Housing and Urban Development,6/1/2009,HUD-insured mortgage,17826,N
NL000023,1,12,5/1/1982,10/1/2021,,,Yes,,HUD - Active 202/811 Loans,10/1/2009,04SEP15:08:54:57,Sec 202/8 direct loan/elderly-handicapped,10/1/2021,,US Dept of Housing and Urban Development,5/1/1982,Section 202/811,,N
NL000023,2,9,12/21/2014,12/20/2019,DC39T792003,Between 101% & 120% FMR,Yes,800003671/DC39T792003,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 202 substantial rehabilitation,12/20/2019,,US Dept of Housing and Urban Development,12/21/2001,Section 202/811,800003671,N
NL000026,1,147,1/1/1983,12/1/2022,,,Yes,,HUD - Active 202/811 Loans,10/1/2009,04SEP15:08:54:57,Sec 202/8 direct loan/elderly-handicapped,12/1/2022,,US Dept of Housing and Urban Development,1/1/1983,Section 202/811,,N
NL000026,2,146,11/1/2013,10/31/2033,DC392764201,Between 101% & 120% FMR,Yes,800003672/DC392764201,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 202 substantial rehabilitation,10/31/2033,,US Dept of Housing and Urban Development,9/1/2008,Section 202/811,800003672,N
NL000026,3,147,11/1/2008,11/1/2043,,,Yes,11193,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 207/223(f) Pur/Refin Hsg.,11/1/2043,,US Dept of Housing and Urban Development,12/1/2008,HUD-insured mortgage,32,N
NL000027,1,105,7/1/2000,7/1/2015,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,7/1/2015,,DC,7/1/2000,Tax exempt bond,,N
NL000027,2,105,1/1/2001,1/1/2031,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2016,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2001,LIHTC,,N
NL000028,1,108,7/1/2004,6/30/2024,DC390007006,Between 80% & 100% FMR,Yes,800003673/DC390007006,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 substantial rehabilitation,6/30/2024,,US Dept of Housing and Urban Development,4/6/1983,Project-based section 8,800003673,N
NL000028,2,108,7/1/2004,7/1/2026,,,No,35431,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 223(a)(7)/221(d)(3) MKT Refi/Moderate Income,7/1/2026,,US Dept of Housing and Urban Development,8/1/2004,HUD-insured mortgage,3828,10/20/2015
NL000029,1,196,1/1/1989,1/1/2019,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2004,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/1989,LIHTC,,N
NL000029,2,196,11/1/2004,10/31/2024,DC39M000099,Below 80% FMR,Yes,800025410/DC39M000099,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 substantial rehabilitation,10/31/2024,,US Dept of Housing and Urban Development,11/1/2004,Project-based section 8,800025410,N
NL000029,3,196,11/1/2004,11/1/2029,,,No,94145,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 223(a)(7)/221(d)(4) MKT/244 Refi/Mod Income Co-In,11/1/2029,,US Dept of Housing and Urban Development,12/1/2004,HUD-insured mortgage,3426,10/20/2015
NL000031,1,92,,,,,Yes,,DC/HSNGDAT,5/1/2008,04SEP15:08:54:57,Tax exempt bond,,,DC,,Tax exempt bond,,N
NL000031,2,91,7/1/1977,7/1/2017,,,No,44225,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 236(j)(1)/Lower Income Families,7/1/2017,,US Dept of Housing and Urban Development,8/1/1977,HUD-insured mortgage,,11/13/2006
NL000031,3,18,12/1/2006,11/30/2026,DC39M000060,Between 80% & 100% FMR,Yes,800003674/DC39M000060,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 loan management set-aside,11/30/2026,,US Dept of Housing and Urban Development,12/1/2006,Project-based section 8,800003674,N
NL000031,4,74,1/1/2007,1/1/2037,,,Yes,,HUD/LIHTC,2/16/2010,04SEP15:08:54:57,Low income housing tax credit,1/1/2022,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2007,LIHTC,,N
NL000032,1,348,9/1/2000,9/1/2020,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Community development block grant,9/1/2020,,DC,9/1/2000,CDBG,,N
NL000033,1,126,,,,,Yes,,DC/AFFPIPELINE,2/1/2008,04SEP15:08:54:57,DC housing production trust fund,,,DC,,DC housing production trust fund,,N
NL000033,2,50,,,,,Yes,,DCHA Document,2/1/2011,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000033,3,124,1/1/2001,1/1/2031,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/1/2016,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/1/2001,LIHTC,,N
NL000033,4,124,4/1/2001,4/1/2016,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,4/1/2016,,DC,4/1/2001,Tax exempt bond,,N
NL000034,1,432,,,,,Yes,,DCHA Website,4/17/2007,04SEP15:08:54:57,Public housing,,,DC Housing Authority,,Public housing,,N
NL000035,1,24,8/2/1984,8/31/2006,,,No,800003703/,HUD/Multifamily Assistance and Section 8 Contracts,5/1/2007,31AUG15:18:10:28,Sec 8 substantial rehabilitation,8/31/2006,,US Dept of Housing and Urban Development,8/2/1984,Project-based section 8,800003703,U
NL000036,1,18,5/1/2001,4/30/2021,DC390010018,Between 80% & 100% FMR,Yes,800003678/DC390010018,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 substantial rehabilitation,4/30/2021,,US Dept of Housing and Urban Development,5/1/2001,Project-based section 8,800003678,N
NL000037,1,273,1/17/2002,1/17/2032,,,Yes,,HUD/LIHTC,9/22/2011,04SEP15:08:54:57,Low income housing tax credit,1/17/2017,,DC Dept of Housing and Community Development; DC Housing Finance Agency,1/17/2002,LIHTC,,N
NL000037,2,275,1/1/2003,1/1/2018,,,Yes,,DC/AFFPIPELINE,,04SEP15:08:54:57,Tax exempt bond,1/1/2018,,DC,1/1/2003,Tax exempt bond,,N
NL000037,3,275,6/1/2003,6/1/2040,,,No,35388,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 221(d)(4) Mkt. Rate Mod Inc/Disp Fams,6/1/2040,,US Dept of Housing and Urban Development,7/1/2003,HUD-insured mortgage,6627,7/30/2012
NL000037,4,275,8/1/2012,8/1/2044,,,Yes,35495,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 223(a)(7)/221(d)(4) MKT Refi/Moderate Income,8/1/2044,,,,HUD-insured mortgage,6627,N
NL000038,1,97,9/1/2011,8/31/2016,DC390005009,Between 80% & 100% FMR,Yes,800003679/DC390005009,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 new construction,8/31/2016,,US Dept of Housing and Urban Development,9/1/2006,Project-based section 8,800003679,N
NL000039,1,148,5/24/2015,5/23/2035,DC39H001003,Between 80% & 100% FMR,Yes,800003680/DC39H001003,HUD/Multifamily Assistance and Section 8 Contracts,1/29/2016,03FEB16:14:05:12,Sec 8 housing finance agency substantial rehabilitation,5/23/2035,5/31/2025,US Dept of Housing and Urban Development,6/1/2005,Project-based section 8,800003680,N
NL000039,2,148,6/1/2005,6/1/2030,,,Yes,35439,HUD/Insured Multifamily Mortgages,1/31/2016,01MAR16:15:34:26,Sec 223(a)(7)/221(d)(4) MKT Refi/Moderate Income,6/1/2030,,US Dept of Housing and Urban Development,7/1/2005,HUD-insured mortgage,2830,N
