"cluster_tr2000","sum_assisted_units","missing_assist_max","avg_assisted_per_project"
"Cluster 1",378,1,47.2500000000000000
"Cluster 10",160,0,160.0000000000000000
"Cluster 11",214,0,107.0000000000000000
"Cluster 14",18,0,18.0000000000000000
"Cluster 17",170,1,56.6666666666666667
"Cluster 18",718,0,44.8750000000000000
"Cluster 19",115,0,38.3333333333333333
"Cluster 2",3743,4,71.9807692307692308
"Cluster 21",1413,2,108.6923076923076923
"Cluster 22",1012,0,126.5000000000000000
"Cluster 23",1117,0,139.6250000000000000
"Cluster 24",982,0,140.2857142857142857
"Cluster 25",902,3,90.2000000000000000
"Cluster 26",692,2,115.3333333333333333
"Cluster 27",1056,0,150.8571428571428571
"Cluster 28",711,0,54.6923076923076923
"Cluster 29",422,0,211.0000000000000000
"Cluster 3",771,1,64.2500000000000000
"Cluster 30",1330,2,166.2500000000000000
"Cluster 31",1011,1,168.5000000000000000
"Cluster 32",2175,0,167.3076923076923077
"Cluster 33",1526,1,101.7333333333333333
"Cluster 34",203,0,33.8333333333333333
"Cluster 35",20,0,20.0000000000000000
"Cluster 36",1301,1,108.4166666666666667
"Cluster 37",1539,1,109.9285714285714286
"Cluster 38",3397,1,169.8500000000000000
"Cluster 39",4676,2,155.8666666666666667
"Cluster 5",140,0,140.0000000000000000
"Cluster 6",310,0,155.0000000000000000
"Cluster 7",2022,2,101.1000000000000000
"Cluster 8",2565,3,142.5000000000000000
"Cluster 9",1646,1,235.1428571428571429
