GEO2010,forecl_ssl_sf_condo_1995,forecl_ssl_sf_condo_1996,forecl_ssl_sf_condo_1997,forecl_ssl_sf_condo_1998,forecl_ssl_sf_condo_1999,forecl_ssl_sf_condo_2000,forecl_ssl_sf_condo_2001,forecl_ssl_sf_condo_2002,forecl_ssl_sf_condo_2003,forecl_ssl_sf_condo_2004,forecl_ssl_sf_condo_2005,forecl_ssl_sf_condo_2006,forecl_ssl_sf_condo_2007,forecl_ssl_sf_condo_2008,forecl_ssl_sf_condo_2009,forecl_ssl_sf_condo_2010,forecl_ssl_sf_condo_2011,forecl_ssl_sf_condo_2012,forecl_ssl_sf_condo_2013,forecl_ssl_1kpcl_sf_condo_1995,forecl_ssl_1kpcl_sf_condo_1996,forecl_ssl_1kpcl_sf_condo_1997,forecl_ssl_1kpcl_sf_condo_1998,forecl_ssl_1kpcl_sf_condo_1999,forecl_ssl_1kpcl_sf_condo_2000,forecl_ssl_1kpcl_sf_condo_2001,forecl_ssl_1kpcl_sf_condo_2002,forecl_ssl_1kpcl_sf_condo_2003,forecl_ssl_1kpcl_sf_condo_2004,forecl_ssl_1kpcl_sf_condo_2005,forecl_ssl_1kpcl_sf_condo_2006,forecl_ssl_1kpcl_sf_condo_2007,forecl_ssl_1kpcl_sf_condo_2008,forecl_ssl_1kpcl_sf_condo_2009,forecl_ssl_1kpcl_sf_condo_2010,forecl_ssl_1kpcl_sf_condo_2011,forecl_ssl_1kpcl_sf_condo_2012,forecl_ssl_1kpcl_sf_condo_2013,trustee_ssl_sf_condo_1995,trustee_ssl_sf_condo_1996,trustee_ssl_sf_condo_1997,trustee_ssl_sf_condo_1998,trustee_ssl_sf_condo_1999,trustee_ssl_sf_condo_2000,trustee_ssl_sf_condo_2001,trustee_ssl_sf_condo_2002,trustee_ssl_sf_condo_2003,trustee_ssl_sf_condo_2004,trustee_ssl_sf_condo_2005,trustee_ssl_sf_condo_2006,trustee_ssl_sf_condo_2007,trustee_ssl_sf_condo_2008,trustee_ssl_sf_condo_2009,trustee_ssl_sf_condo_2010,trustee_ssl_sf_condo_2011,trustee_ssl_sf_condo_2012,trustee_ssl_sf_condo_2013,trustee_ssl_1kpcl_sf_condo_1995,trustee_ssl_1kpcl_sf_condo_1996,trustee_ssl_1kpcl_sf_condo_1997,trustee_ssl_1kpcl_sf_condo_1998,trustee_ssl_1kpcl_sf_condo_1999,trustee_ssl_1kpcl_sf_condo_2000,trustee_ssl_1kpcl_sf_condo_2001,trustee_ssl_1kpcl_sf_condo_2002,trustee_ssl_1kpcl_sf_condo_2003,trustee_ssl_1kpcl_sf_condo_2004,trustee_ssl_1kpcl_sf_condo_2005,trustee_ssl_1kpcl_sf_condo_2006,trustee_ssl_1kpcl_sf_condo_2007,trustee_ssl_1kpcl_sf_condo_2008,trustee_ssl_1kpcl_sf_condo_2009,trustee_ssl_1kpcl_sf_condo_2010,trustee_ssl_1kpcl_sf_condo_2011,trustee_ssl_1kpcl_sf_condo_2012,trustee_ssl_1kpcl_sf_condo_2013
Tract 1,4,3,4,8,3,7,4,2,4,4,3,3,9,4,12,11,0,0,0,2.1,1.6,2.1,4.3,1.6,3.7,2.1,1.1,2.1,2.1,1.6,1.6,4.7,2,6.1,5.6,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,3,5,1,2,0,0,0,0,1.1,0,0,0,0,0.5,0,0,0,0,1.5,1.5,2.6,0.5,1,0
Tract 2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 2.02,9,5,5,8,10,3,3,6,3,3,2,2,0,6,19,6,0,0,2,5.8,3.2,3.2,5.2,6.5,1.9,1.9,3.9,1.9,1.8,1.2,1.2,0,3.6,11,3.6,0,0,1.2,2,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1.3,0,0,0,0,0,0,0.6,0,0,0.6,0.6,0.6,0,0.6,0,0,0,0
Tract 3,5,4,7,6,2,1,2,3,3,1,2,3,2,8,9,8,0,0,0,2.9,2.3,4,3.4,1.1,0.6,1.1,1.7,1.7,0.6,1.1,1.7,1.1,4.6,5.2,4.6,0,0,0,2,2,5,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1.1,1.1,2.9,0,1.7,0,0,0,0,0.6,0,0,0,0.6,0,0.6,0,0,0
Tract 4,2,1,1,2,1,0,0,0,1,1,0,0,2,2,4,3,0,0,1,3.6,1.8,1.8,3.6,1.8,0,0,0,1.8,1.8,0,0,3.3,3.3,6.6,5,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,1.6,1.7,0,0,0
Tract 5.01,1,2,2,1,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2.3,4.6,4.6,2.3,0,2.3,0,0,0,1.5,1.5,0,0,0,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,0,0,0
Tract 5.02,3,0,1,2,2,1,1,0,2,0,1,0,2,1,3,4,0,0,0,3.2,0,1.1,2.2,2.2,1.1,1.1,0,2.2,0,1.1,0,2.2,1.1,3.2,4.3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1.1,0,0,0,0,1.1,0,0,0,1.1,0,0,0,0,0,2.1,0,0,0
Tract 6,2,1,1,1,1,1,0,0,0,0,1,0,0,7,1,2,0,0,0,1.8,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0.9,0,0,5.7,0.8,1.6,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1.8,0.9,0.9,0.9,0,0,0,0.9,0,0,0,0,0,1.6,0,0,0,0,0
Tract 7.01,3,1,4,2,3,1,5,3,1,1,1,0,5,6,9,7,1,0,0,2.9,1,3.8,1.9,2.9,1,4.8,2.8,0.8,0.8,0.8,0,4,4.8,7.3,5.6,0.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.8,3.2,0,1.6,0,0
Tract 7.02,4,2,3,1,1,0,1,1,1,2,0,1,3,3,3,1,0,0,0,5.6,2.8,4.2,1.4,1.4,0,1.4,1.4,1.4,2.7,0,1.2,3.7,3.7,3.7,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,2.4,2.4,0,0,0
