GEO2010,TotPop_1980,TotPop_1990,TotPop_2000,TotPop_2010,PctChgTotPop_1980_1990,PctChgTotPop_1990_2000,PctChgTotPop_2000_2010,PctPopUnder18Years_1980,PctPopUnder18Years_1990,PctPopUnder18Years_2000,PctPopUnder18Years_2010,PctChgPopUnder18Years_1980_1990,PctChgPopUnder18Years_1990_2000,PctChgPopUnder18Yea_2000_2010,PctPop65andOverYears_1980,PctPop65andOverYears_1990,PctPop65andOverYears_2000,PctPop65andOverYears_2010,PctChgPop65andOverYear_1980_1990,PctChgPop65andOverYear_1990_2000,PctChgPop65andOverYear_2000_2010,PctBlackNonHispBridge_1990,PctBlackNonHispBridge_2000,PctBlackNonHispBridge_2010,PctWhiteNonHispBridge_1990,PctWhiteNonHispBridge_2000,PctWhiteNonHispBridge_2010,PctHisp_1990,PctHisp_2000,PctHisp_2010,PctAsianPINonHispBridge_1990,PctAsianPINonHispBridge_2000,PctAsianPINonHispBridge_2010,PctForeignBorn_1980,PctForeignBorn_1990,PctForeignBorn_2000,PctForeignBorn_2010_14,PctFamiliesOwnChildrenFH_1990,PctFamiliesOwnChildrenFH_2000,PctFamiliesOwnChildrenFH_2010_14,Pct_births_low_wt_1998,Pct_births_low_wt_1999,Pct_births_low_wt_2000,Pct_births_low_wt_2001,Pct_births_low_wt_2002,Pct_births_low_wt_2003,Pct_births_low_wt_2004,Pct_births_low_wt_2005,Pct_births_low_wt_2006,Pct_births_low_wt_2007,Pct_births_low_wt_2008,Pct_births_low_wt_2009,Pct_births_low_wt_2010,Pct_births_low_wt_2011,Pct_births_teen_1998,Pct_births_teen_1999,Pct_births_teen_2000,Pct_births_teen_2001,Pct_births_teen_2002,Pct_births_teen_2003,Pct_births_teen_2004,Pct_births_teen_2005,Pct_births_teen_2006,Pct_births_teen_2007,Pct_births_teen_2008,Pct_births_teen_2009,Pct_births_teen_2010,Pct_births_teen_2011
Tract 1,4744,4706,4674,4890,s,s,4.6,s,s,8.9,12,s,s,40,16,17,14,18,3.9,-15,32,s,4.8,2.4,s,86,86,4.7,4.1,6.1,s,4.3,4.9,s,s,18,23,s,13,11,0,0,3.6,4.5,2.9,4.6,14,7.7,12,5.2,8.1,5.6,1.9,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
Tract 2.01,3201,3829,4460,3916,s,s,-12,s,s,0,0.4,s,s,i,5.5,2.5,1.6,1,-47,-24,-42,s,5.8,7.4,s,84,70,6.4,2.3,7,s,7.8,15,s,s,1.7,16,s,i,i,4,10,7.1,2.3,0,11,7.2,0,3,0,0,0,i,i,4,0,0,0,0,0,0,0,0,0,0,0,i,i
Tract 2.02,3045,3646,3857,5425,s,s,41,s,s,8.3,6.7,s,s,13,5.8,8,8.8,9.9,65,17,57,s,1.4,3.3,s,90,82,6.6,4.2,6.3,s,4.6,8.1,s,s,16,14,s,4.2,17,4.1,9.4,7.3,2.6,0.5,9.7,12,0,2.5,0,4.3,2.5,0,2.5,3.5,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0
Tract 3,5081,5738,5750,6233,s,s,8.4,s,s,6.9,11,s,s,74,11,7,6.2,7.4,-28,-12,30,s,2.8,2.9,s,82,83,5.2,5.7,6.5,s,8.7,7,s,s,19,15,s,12,8.6,5.1,1.4,8.3,5.6,5.7,1.5,3.8,6.3,7.5,3.4,2.2,4.6,8.7,8.2,0,0,1.4,0,0,1.5,0,0,1.5,1.1,0,0,0,0
Tract 4,1577,1399,1501,1455,s,s,-3.1,s,s,15,16,s,s,3.5,23,12,17,19,-54,49,12,s,4.7,3.6,s,90,79,6.9,1.7,8.5,s,2.7,8.1,s,s,23,30,s,0,0,33,0,36,0,0,0,7.7,0,7.1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Tract 5.01,2647,2694,2774,3376,s,s,22,s,s,5,5.4,s,s,31,18,16,6.4,8,-11,-58,53,s,5,4.1,s,77,80,7,8.9,6.8,s,8.8,8.9,s,s,21,18,s,4.9,20,10,5.3,4.5,0,16,17,0,11,0,10,10,0,8.6,10,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0
Tract 5.02,3132,3333,3062,3189,s,s,4.1,s,s,9.5,13,s,s,39,18,13,11,12,-25,-21,18,s,3.6,3.4,s,85,80,9.2,6.3,8.5,s,4.7,7.5,s,s,14,16,s,12,2.9,6.3,2.6,6.5,0,5.3,3.9,2.2,5,6.1,9.3,5.9,8.6,0,5.7,3.1,0,0,0,0,0,0,0,0,4.7,0,2.9,0,0
Tract 6,4551,4960,4969,4539,s,s,-8.7,s,s,14,16,s,s,8,20,24,22,18,26,-4.9,-25,s,13,5.7,s,75,81,8.8,7.3,7.3,s,4.4,6,s,s,14,19,s,20,21,9.5,6.3,0,2.5,8.7,4,6.3,4.9,13,7.3,5.9,4.3,7.5,9.4,0,4.2,0,2.5,2.1,0,2.1,0,0,0,0,0,0,0
Tract 7.01,5559,4472,4395,4620,s,s,5.1,s,s,6.5,7.9,s,s,28,33,30,24,23,-26,-23,1.6,s,4,5.3,s,80,78,10,8.7,8.8,s,7.1,7.4,s,s,25,21,s,12,9.6,6.3,13,11,3.6,11,2.7,6.3,4.3,14,2.2,9.3,5,2,5,3.1,0,5.4,0,5.3,2.7,0,0,0,0,1.9,0,0,0
Tract 7.02,2839,3426,3282,3364,s,s,2.5,s,s,7,4.7,s,s,-31,15,11,8.3,8.4,-15,-27,3.7,s,8.3,6.1,s,74,75,13,11,11,s,6.2,7.9,s,s,29,20,s,48,47,0,8.7,3.8,6.3,0,3.7,3.1,9.1,9.1,24,17,0,9.6,2.3,0,0,0,3.2,0,0,3.1,0,0,0,2.8,0,0,0
Tract 8.01,4310,5928,6721,6709,s,s,-0.2,s,s,11,15,s,s,33,19,19,17,20,37,1,18,s,4.7,5.2,s,81,79,5.2,7.5,8.5,s,6.6,7,s,s,28,26,s,19,5.6,2.4,4.5,8.2,5.4,7.7,2.1,4.8,6.4,9,5,6.9,11,2,2,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0
Tract 8.02,2416,2691,2806,2869,s,s,2.2,s,s,12,15,s,s,23,11,9.9,8.6,10,2.7,-9,22,s,2.7,4.1,s,83,77,5.6,5.7,8.1,s,8.8,10,s,s,25,17,s,13,14,2.4,2.2,17,2.6,6.5,9.3,6.4,19,3.2,10,0,13,2.7,5.8,2.4,2.2,2.1,0,0,0,2.1,0,0,0,2.4,0,2.7,0
Tract 9.01,5605,6883,7214,7175,s,s,-0.5,s,s,12,15,s,s,23,9.6,7.1,7.7,12,-9.5,13,62,s,6.6,4.2,s,79,81,5.4,5.4,6.1,s,5.2,8.1,s,s,11,18,s,5.8,5.4,4.4,23,5.4,3.8,3.8,4.1,3.8,2,4.7,9.5,7.3,4.3,6.3,5.7,0,0,0,0,0,0,0,2,0,4.8,0,0,0,0
Tract 9.02,1874,1916,1967,2092,s,s,6.4,s,s,22,26,s,s,27,20,18,13,16,-5.4,-26,26,s,3.4,4.1,s,86,85,4.9,5.9,5.1,s,2.5,5.3,s,s,13,20,s,11,15,5.9,4.2,4.8,5.9,24,14,12,5.3,16,5.9,14,12,18,9.1,2.9,0,4.8,0,0,0,5.9,0,3.2,5.9,0,0,0,0
Tract 10.01,6347,6320,6062,7436,s,s,23,s,s,20,20,s,s,28,27,17,16,13,-36,-9.1,1.4,s,3.5,4.8,s,87,80,5.4,5.1,6.9,s,4.5,7.9,s,s,18,19,s,6.7,10,7.7,6.1,6.6,6.8,4,5.1,2.6,6.4,9.1,1.1,11,7,2.3,6.7,0,0,0,0.8,0,0,0,0,0,1.1,0,0,0,0
Tract 10.02,1991,3534,3465,3442,s,s,-0.7,s,s,5.5,6.3,s,s,14,35,9.5,8.6,8.2,-52,-11,-5.7,s,8.1,6.1,s,71,75,8.8,10,7.9,s,11,11,s,s,29,21,s,35,0,3.4,3.1,0,0,5.6,13,16,3.8,8.3,11,3.3,3.1,2.3,11,0,0,3.8,0,2.8,0,2.3,0,2.8,3.6,0,3.1,0,0
Tract 11,4567,4415,4428,4779,s,s,7.9,s,s,18,17,s,s,1.8,18,18,16,20,-4.3,-13,39,s,6.5,6.7,s,81,79,5.2,4.4,6.4,s,6.7,7.1,s,s,15,13,s,6.5,23,4.3,2,6.2,12,10,5.6,8.8,6.7,3.8,10,8.7,3.3,6.3,6.3,0,0,0,6,0,1.4,0,0,0,0,2.2,0,0,0
Tract 12,4910,4826,4856,5008,s,s,3.1,s,s,14,13,s,s,2,18,14,11,13,-20,-22,17,s,7.4,6.2,s,77,76,8,7.7,8,s,8,9.1,s,s,22,19,s,20,19,1.9,6.5,8.9,8.9,10,0,0,6,6.2,3.2,6.9,2.9,1.6,17,0,0,0,0,0,0,1.5,0,0,1.6,1.7,1.4,0,0
