GEO2010,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2010_14,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2010_14,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2010_14,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2010_14,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2010_14,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2010_14,PctHshldPhone_2000,PctHshldPhone_2010_14,PctHshldCar_2000,PctHshldCar_2010_14,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2010_14,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2010_14,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015
Tract 1,s,s,5.2,2.4,s,2.6,0,9.6,2.2,0,s,s,1.9,4.2,s,s,72,75,s,s,1.9,0,100,97,79,74,s,s,363441,341722,s,s,-6,5,8,6,5,6,6,6,10,9,13,16,27,25,24,24,18,0,s,s,s,s,0,0,s,s,s,s,s,s,s,s,s,12,11,11,11,8.6,8.2,10,8.7,6,6.8,8.6,6.5,4.5,4.5,3.7,3.7,89,86,71,83,78,87,64,69,73,79,65,77,71,79,79,76
Tract 2.01,s,s,71,86,s,i,i,23,100,0,s,s,3.9,7,s,s,52,24,s,s,14,0,100,100,67,100,s,s,i,i,s,s,i,s,s,s,s,s,s,s,7,s,s,s,11,10,8,8,8,s,0,s,s,s,s,0,s,0,0,s,s,s,s,s,s,1.3,1.1,0.9,0.7,1.7,1.2,2.4,1,0,0.3,0.8,0.8,0.3,0.3,0.5,0.5,22,20,15,10,18,17,13,11,8.4,8.3,12,17,12,9.4,8.7,7.9
Tract 2.02,s,s,24,20,s,6.5,2,13,2.3,4.2,s,s,0.5,4.6,s,s,68,51,s,s,1.4,1.7,100,97,81,80,s,s,291328,300850,s,s,3.3,s,s,s,s,s,5,s,7,s,s,s,8,7,6,6,9,s,0,s,s,s,s,0,s,0,0,s,s,s,s,s,s,13,12,12,9.7,11,8,8.1,13,7.6,5.9,8.5,5.9,4.6,4.6,5.7,4.2,101,100,84,71,75,71,74,79,80,70,62,67,83,81,97,101
Tract 3,s,s,16,12,s,12,3.7,5,0,9,s,s,2.1,3.7,s,s,73,76,s,s,1.9,2.9,100,96,88,84,s,s,166990,218740,s,s,31,18,19,22,18,15,21,19,20,23,38,43,42,57,44,58,54,7,7,6,s,s,8,s,s,6,10,8,6,s,s,s,s,1.7,2.2,1.5,2,1.7,2,1.5,1.8,1.8,1.9,1.8,1.9,1.3,1,1.1,1,19,25,15,18,14,15,16,23,26,21,24,15,17,18,24,23
Tract 4,s,s,3,9.6,s,0,5.3,7.8,0,2.9,s,s,0.4,2.1,s,s,64,64,s,s,0.9,3.6,100,100,94,91,s,s,463490,465322,s,s,0.4,10,6,8,6,6,9,12,11,6,7,s,10,7,11,7,8,0,0,0,0,0,0,s,s,0,0,0,s,s,s,s,s,4,6,2.7,3.4,3.4,4.1,0.7,7.5,4.8,2.7,5.5,4.8,1.4,0,0.7,4.1,64,56,32,37,36,44,48,54,49,65,59,68,38,25,43,40
Tract 5.01,s,s,6,10,s,0,18,14,3.4,0,s,s,3.6,5.3,s,s,78,78,s,s,5.5,1.7,100,98,69,61,s,s,167285,206998,s,s,24,s,s,6,8,11,7,6,14,9,6,s,9,5,7,6,10,0,0,0,s,0,0,s,s,s,0,0,0,0,0,0,0,2.9,8.1,4.1,3,3,4.2,2.6,3.4,2.5,3.3,2.4,3.9,3.3,2.7,1.8,1.2,45,39,40,39,28,27,17,19,23,21,15,28,24,19,19,17
Tract 5.02,s,s,4.3,3.8,s,0,0,1.6,6.3,0,s,s,1.3,1.9,s,s,80,78,s,s,4.7,3.4,100,97,78,73,s,s,217361,288656,s,s,33,7,5,5,8,10,10,9,8,7,16,23,16,16,18,24,26,s,s,s,5,s,s,0,0,0,0,s,s,s,s,s,0,3.6,4.6,3.2,1.6,4.2,2.9,4.5,1.6,2.8,1.6,2.5,1.3,2.5,1.6,3.1,0.9,55,36,35,40,32,24,29,21,28,34,21,18,27,20,19,26
Tract 6,s,s,4.8,7.2,s,0.9,0,6.3,4.8,0,s,s,0.9,2,s,s,63,69,s,s,13,3.4,99,98,81,80,s,s,294290,314649,s,s,6.9,21,22,21,14,17,20,17,10,13,10,20,27,32,36,41,37,5,8,9,6,5,s,s,0,0,s,6,s,0,s,s,0,2.6,3,2.7,2.7,1.3,1.5,1.5,1.3,1.7,2.4,1.8,3.1,2,1.8,1.3,0.4,32,33,29,36,26,22,21,26,32,34,33,31,33,24,25,34
Tract 7.01,s,s,5.8,7.4,s,0,11,2.6,4.1,3.8,s,s,3.9,4.4,s,s,64,64,s,s,4,2.6,100,97,76,79,s,s,180070,148727,s,s,-17,18,12,17,14,16,15,15,11,16,27,39,52,65,71,68,70,5,s,s,s,5,s,s,s,5,5,0,s,8,5,0,0,1.6,0.5,2,0.4,0.7,0.7,0.4,0.4,0.2,0.7,0.2,0.2,0.6,0.2,0.2,0.4,21,21,16,15,17,19,16,10,11,9.6,13,9.3,17,17,14,10
Tract 7.02,s,s,19,8.7,s,24,0,1.9,14,0,s,s,2.9,2.4,s,s,74,80,s,s,4.4,0.8,100,96,67,69,s,s,91471,94738,s,s,3.6,23,20,18,16,24,22,28,24,24,31,35,35,42,44,47,50,7,7,s,s,s,s,7,7,5,7,s,s,0,s,s,6,1.8,1.8,0.9,0.9,0.6,0,0.3,0,0.6,1.2,0.3,0.9,0.3,0.3,0.9,0,9.8,13,10,11,12,11,11,3.9,7.8,10,13,7.4,9.2,5.4,9.5,15
