CLUSTER_TR2000,forecl_ssl_sf_condo_1995,forecl_ssl_sf_condo_1996,forecl_ssl_sf_condo_1997,forecl_ssl_sf_condo_1998,forecl_ssl_sf_condo_1999,forecl_ssl_sf_condo_2000,forecl_ssl_sf_condo_2001,forecl_ssl_sf_condo_2002,forecl_ssl_sf_condo_2003,forecl_ssl_sf_condo_2004,forecl_ssl_sf_condo_2005,forecl_ssl_sf_condo_2006,forecl_ssl_sf_condo_2007,forecl_ssl_sf_condo_2008,forecl_ssl_sf_condo_2009,forecl_ssl_sf_condo_2010,forecl_ssl_sf_condo_2011,forecl_ssl_sf_condo_2012,forecl_ssl_sf_condo_2013,forecl_ssl_1kpcl_sf_condo_1995,forecl_ssl_1kpcl_sf_condo_1996,forecl_ssl_1kpcl_sf_condo_1997,forecl_ssl_1kpcl_sf_condo_1998,forecl_ssl_1kpcl_sf_condo_1999,forecl_ssl_1kpcl_sf_condo_2000,forecl_ssl_1kpcl_sf_condo_2001,forecl_ssl_1kpcl_sf_condo_2002,forecl_ssl_1kpcl_sf_condo_2003,forecl_ssl_1kpcl_sf_condo_2004,forecl_ssl_1kpcl_sf_condo_2005,forecl_ssl_1kpcl_sf_condo_2006,forecl_ssl_1kpcl_sf_condo_2007,forecl_ssl_1kpcl_sf_condo_2008,forecl_ssl_1kpcl_sf_condo_2009,forecl_ssl_1kpcl_sf_condo_2010,forecl_ssl_1kpcl_sf_condo_2011,forecl_ssl_1kpcl_sf_condo_2012,forecl_ssl_1kpcl_sf_condo_2013,trustee_ssl_sf_condo_1995,trustee_ssl_sf_condo_1996,trustee_ssl_sf_condo_1997,trustee_ssl_sf_condo_1998,trustee_ssl_sf_condo_1999,trustee_ssl_sf_condo_2000,trustee_ssl_sf_condo_2001,trustee_ssl_sf_condo_2002,trustee_ssl_sf_condo_2003,trustee_ssl_sf_condo_2004,trustee_ssl_sf_condo_2005,trustee_ssl_sf_condo_2006,trustee_ssl_sf_condo_2007,trustee_ssl_sf_condo_2008,trustee_ssl_sf_condo_2009,trustee_ssl_sf_condo_2010,trustee_ssl_sf_condo_2011,trustee_ssl_sf_condo_2012,trustee_ssl_sf_condo_2013,trustee_ssl_1kpcl_sf_condo_1995,trustee_ssl_1kpcl_sf_condo_1996,trustee_ssl_1kpcl_sf_condo_1997,trustee_ssl_1kpcl_sf_condo_1998,trustee_ssl_1kpcl_sf_condo_1999,trustee_ssl_1kpcl_sf_condo_2000,trustee_ssl_1kpcl_sf_condo_2001,trustee_ssl_1kpcl_sf_condo_2002,trustee_ssl_1kpcl_sf_condo_2003,trustee_ssl_1kpcl_sf_condo_2004,trustee_ssl_1kpcl_sf_condo_2005,trustee_ssl_1kpcl_sf_condo_2006,trustee_ssl_1kpcl_sf_condo_2007,trustee_ssl_1kpcl_sf_condo_2008,trustee_ssl_1kpcl_sf_condo_2009,trustee_ssl_1kpcl_sf_condo_2010,trustee_ssl_1kpcl_sf_condo_2011,trustee_ssl_1kpcl_sf_condo_2012,trustee_ssl_1kpcl_sf_condo_2013
Cluster 1,10,20,14,19,21,10,20,13,15,11,8,12,18,25,39,31,3,i,i,2.7,5.4,3.8,5.1,5.6,2.7,5.4,3.4,3.9,2.8,2,2.9,4.2,5.9,9.1,7.1,0.7,i,i,0,1,0,4,2,0,0,0,1,1,2,2,4,5,14,10,1,i,i,0,0.3,0,1.1,0.5,0,0,0,0.3,0.3,0.5,0.5,0.9,1.2,3.3,2.3,0.2,i,i
Cluster 2,78,97,124,150,144,135,86,84,78,60,41,84,94,152,230,177,3,i,i,14,18,22,27,26,24,16,15,13,9.9,6.6,12,13,20,30,23,0.4,i,i,37,35,42,69,82,42,37,19,3,8,6,10,33,53,72,44,13,i,i,6.7,6.3,7.6,13,15,7.6,6.7,3.4,0.5,1.3,1,1.4,4.5,7,9.4,5.6,1.6,i,i
Cluster 3,25,33,36,35,43,29,25,29,23,20,20,17,32,51,81,50,2,i,i,12,16,18,17,21,14,12,14,11,9.6,8.5,6.6,12,17,27,17,0.7,i,i,7,11,16,20,15,12,8,5,2,1,4,1,8,10,9,13,2,i,i,3.5,5.5,8,10,7.5,6,4,2.5,1,0.5,1.7,0.4,3,3.4,3,4.3,0.7,i,i
Cluster 4,18,12,16,22,15,11,9,11,10,8,7,8,11,19,40,25,0,i,i,3.5,2.3,3.1,4.3,2.9,2.1,1.7,2.1,1.9,1.5,1.3,1.5,2.1,3.6,7.5,4.7,0,i,i,4,2,5,2,3,0,0,1,1,1,1,1,1,4,4,6,1,i,i,0.8,0.4,1,0.4,0.6,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.7,1.1,0.2,i,i
Cluster 5,12,10,7,4,6,3,0,5,4,3,6,14,12,10,16,12,2,i,i,4.4,3.7,2.6,1.5,2.2,1.1,0,1.8,1.5,1.1,2.2,4.5,3.8,3.2,4.9,3.6,0.6,i,i,0,1,0,0,1,1,0,0,0,0,0,3,5,4,5,5,0,i,i,0,0.4,0,0,0.4,0.4,0,0,0,0,0,1,1.6,1.3,1.5,1.5,0,i,i
Cluster 6,30,24,23,24,17,24,11,12,10,14,11,6,16,17,40,29,0,i,i,5.9,4.7,4.6,4.7,3.4,4.7,2.2,2.4,2,2.7,2.1,1.1,3,3.2,7.6,5.5,0,i,i,18,5,0,5,4,1,1,2,0,1,1,1,4,1,13,7,5,i,i,3.6,1,0,1,0.8,0.2,0.2,0.4,0,0.2,0.2,0.2,0.8,0.2,2.5,1.3,0.9,i,i
Cluster 7,51,65,46,51,49,34,26,23,24,13,18,25,69,95,115,114,2,i,i,17,21,15,17,16,11,8.5,7.2,6.9,3.2,4,5.2,13,17,20,20,0.4,i,i,13,23,19,14,21,10,8,1,0,2,1,2,14,41,39,30,6,i,i,4.3,7.5,6.2,4.6,6.9,3.3,2.6,0.3,0,0.5,0.2,0.4,2.7,7.5,6.9,5.4,1.1,i,i
Cluster 8,3,5,7,6,7,0,6,6,7,3,4,7,32,42,84,54,10,i,i,4.4,7.3,10,8.7,10,0,8.7,8.2,9.5,2.3,1.7,2.4,10,11,21,12,2.2,i,i,1,2,1,0,2,2,0,2,1,0,0,1,10,18,23,15,2,i,i,1.5,2.9,1.5,0,2.9,2.9,0,2.7,1.4,0,0,0.3,3.2,4.6,5.9,3.2,0.4,i,i
Cluster 9,31,26,28,29,28,16,20,24,14,16,10,18,25,43,58,35,1,i,i,16,14,15,15,15,8.4,10,13,7.3,8.3,4.5,8,9.5,16,22,13,0.4,i,i,9,11,14,7,10,5,8,2,1,3,1,0,2,12,9,13,3,i,i,4.7,5.8,7.3,3.7,5.2,2.6,4.2,1,0.5,1.5,0.4,0,0.8,4.5,3.4,4.7,1.1,i,i
Cluster 10,9,11,10,11,5,5,2,5,5,7,5,3,5,15,24,17,0,i,i,2.4,2.9,2.6,2.9,1.3,1.3,0.5,1.3,1.3,1.8,1.3,0.8,1.3,3.9,6.3,4.4,0,i,i,2,3,2,1,2,0,0,0,1,0,1,1,0,2,8,1,1,i,i,0.5,0.8,0.5,0.3,0.5,0,0,0,0.3,0,0.3,0.3,0,0.5,2.1,0.3,0.3,i,i
