CLUSTER_TR2000,NumOccupiedHsgUnits_1980,NumOccupiedHsgUnits_1990,NumOccupiedHsgUnits_2000,NumOccupiedHsgUnits_2010,PctSameHouse5YearsAgo_1990,PctSameHouse5YearsAgo_2000,PctVacantHsgUnitsForRent_1980,PctVacantHsgUnitsForRent_1990,PctVacantHsgUnitsForRent_2000,PctVacantHsgUnitsForRent_2010_14,PctOwnerOccupiedHsgUnits_1980,PctOwnerOccupiedHsgUnits_1990,PctOwnerOccupiedHsgUnits_2000,PctOwnerOccupiedHsgUnits_2010_14,sales_sf_1995,sales_sf_1996,sales_sf_1997,sales_sf_1998,sales_sf_1999,sales_sf_2000,sales_sf_2001,sales_sf_2002,sales_sf_2003,sales_sf_2004,sales_sf_2005,sales_sf_2006,sales_sf_2007,sales_sf_2008,sales_sf_2009,sales_sf_2010,sales_sf_2011,sales_sf_2012,sales_sf_2013,sales_sf_2014,sales_sf_2015,r_mprice_sf_1995,r_mprice_sf_1996,r_mprice_sf_1997,r_mprice_sf_1998,r_mprice_sf_1999,r_mprice_sf_2000,r_mprice_sf_2001,r_mprice_sf_2002,r_mprice_sf_2003,r_mprice_sf_2004,r_mprice_sf_2005,r_mprice_sf_2006,r_mprice_sf_2007,r_mprice_sf_2008,r_mprice_sf_2009,r_mprice_sf_2010,r_mprice_sf_2011,r_mprice_sf_2012,r_mprice_sf_2013,r_mprice_sf_2014,r_mprice_sf_2015,PctAnnChgRMPriceSf_10yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_1yr,NumMrtgOrigHomePurchPerUnit_1997,NumMrtgOrigHomePurchPerUnit_1998,NumMrtgOrigHomePurchPerUnit_1999,NumMrtgOrigHomePurchPerUnit_2000,NumMrtgOrigHomePurchPerUnit_2001,NumMrtgOrigHomePurchPerUnit_2002,NumMrtgOrigHomePurchPerUnit_2003,NumMrtgOrigHomePurchPerUnit_2004,NumMrtgOrigHomePurchPerUnit_2005,NumMrtgOrigHomePurchPerUnit_2006,MedianMrtgInc1_4m_adj_1997,MedianMrtgInc1_4m_adj_1998,MedianMrtgInc1_4m_adj_1999,MedianMrtgInc1_4m_adj_2000,MedianMrtgInc1_4m_adj_2001,MedianMrtgInc1_4m_adj_2002,MedianMrtgInc1_4m_adj_2003,MedianMrtgInc1_4m_adj_2004,MedianMrtgInc1_4m_adj_2005,MedianMrtgInc1_4m_adj_2006,PctSubprimeConvOrigHomePur_1997,PctSubprimeConvOrigHomePur_1998,PctSubprimeConvOrigHomePur_1999,PctSubprimeConvOrigHomePur_2000,PctSubprimeConvOrigHomePur_2001,PctSubprimeConvOrigHomePur_2002,PctSubprimeConvOrigHomePur_2003,PctSubprimeConvOrigHomePur_2004,PctSubprimeConvOrigHomePur_2005,PctSubprimeConvOrigHomePur_2006
Cluster 1,9942,10279,10979,10992,40,37,6,5.8,2.4,5.2,25,31,34,36,34,37,50,63,55,47,47,44,43,56,40,29,32,18,26,22,25,27,35,25,21,410000,365000,501000,538000,522000,727000,725000,934000,1407000,1173000,1349000,1454000,1135000,1511000,1048000,1286000,1552000,1108000,1795000,1603000,1200000,-1.2,-1.4,-25,72,122,141,119,132,153,141,142,170,133,109825,102733,102147,110781,119742,123689,122658,127530,132321,140907,0.3,0.2,0.6,2.2,1.2,0.6,1.2,1.1,2,1.6
Cluster 2,17039,17275,17458,19514,51,45,8.7,9,4.9,3.4,24,26,26,32,230,260,258,391,392,323,307,309,311,367,305,187,156,100,108,143,167,165,196,149,148,164000,153000,169000,174000,174000,201000,224000,300000,339000,417000,541000,587000,565000,573000,471000,513000,506000,539000,601000,646000,707000,2.7,6.6,9.4,35,46,61,78,78,86,94,111,128,142,81630,74332,73289,87251,93799,93110,95294,109082,115267,119018,7.8,16,6,5.5,5.1,3.7,4,6.5,11,6.2
Cluster 3,3742,4030,3957,5461,46,39,7.4,9.2,5,3.7,28,31,33,43,55,58,57,122,142,126,201,150,134,116,100,74,61,59,54,59,63,75,68,46,58,147000,157000,150000,182000,156000,203000,355000,400000,492000,594000,644000,764000,646000,693000,674000,674000,632000,704000,726000,796000,781000,1.9,3,-1.9,39,56,79,125,159,134,120,107,235,200,78726,80125,84454,99208,87660,100812,118199,126060,118655,120877,6.1,10,5.2,5.6,2.8,3.1,4.7,8.3,5.9,1.5
Cluster 4,6629,7004,7446,7375,30,26,5.3,5.9,2.6,6.7,42,48,52,56,166,188,265,356,315,248,224,248,249,217,211,180,164,150,124,150,160,165,186,135,165,488000,438000,494000,497000,569000,624000,772000,914000,895000,958000,1139000,1038000,1018000,1087000,1100000,1059000,1041000,1043000,1171000,1061000,1223000,0.7,2.9,15,74,102,99,83,83,86,79,94,90,64,152972,140517,106934,145035,167044,170269,190590,183188,191889,206642,2.1,1,0.9,2.3,2.5,1,0.9,1.8,2.6,1.6
Cluster 5,6324,5787,5811,6413,30,22,7.8,9.7,3.3,9.9,23,30,29,34,5,7,10,16,12,11,7,10,17,14,10,14,3,3,7,7,5,10,5,4,9,i,i,356000,417000,418000,477000,i,581000,716000,660000,936000,808000,i,i,i,i,i,819000,i,i,i,i,i,i,49,83,107,99,117,114,124,123,170,119,113495,112209,77822,102506,117479,94658,103931,100428,116454,119534,0,0.4,0.5,1.2,0.7,0.9,0.9,0.1,0.9,0.7
Cluster 6,10682,10491,11607,11413,34,31,8.1,8.4,2.3,3.1,18,28,30,31,30,18,27,30,44,31,29,21,32,30,23,25,23,17,7,19,16,15,23,20,11,357000,339000,436000,408000,507000,576000,656000,719000,781000,965000,1011000,930000,908000,923000,i,930000,850000,897000,967000,1036000,1350000,2.9,7.7,30,95,123,141,157,146,149,169,163,179,152,83833,93028,91547,105620,113715,105250,103524,111975,113557,132632,0.5,0.4,0.2,1.6,1.4,1.1,0.8,1.2,2.8,0.5
Cluster 7,8743,9179,10512,13475,43,42,12,10,4.6,4.7,12,18,23,30,51,55,80,80,80,87,76,95,106,96,68,51,37,45,26,38,36,55,34,37,40,113000,102000,129000,146000,163000,195000,252000,331000,441000,498000,585000,649000,738000,586000,582000,626000,607000,672000,790000,765000,843000,3.7,6.1,10,56,74,83,90,87,131,134,242,218,246,78399,87283,88658,99676,101131,107674,124565,117687,130349,126743,1.9,3.3,4.9,3.7,1.3,1.7,1.7,1.3,2.8,4.1
Cluster 8,3179,3135,3831,7543,52,47,7.2,7,6.5,5.2,4.5,4.9,9.3,25,5,3,1,1,6,1,2,1,2,2,2,0,2,1,0,0,0,3,4,3,3,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,86,61,71,70,107,109,228,620,1492,795,70390,67366,71327,95660,79725,126560,83246,115370,112576,129125,0,2.7,7.1,0,1.3,1.3,1.2,1.3,5,1.7
Cluster 9,6451,6361,6965,6787,52,49,12,15,4.3,3.5,28,37,33,41,11,14,9,18,18,24,105,17,20,20,15,21,7,15,9,10,10,10,13,11,17,300000,277000,i,277000,278000,363000,501000,523000,424000,535000,480000,570000,i,706000,i,672000,311000,698000,673000,710000,800000,5.2,3.5,13,26,43,49,59,95,64,71,104,158,54,65773,75711,75401,84500,103314,91504,76781,88165,103184,106298,7.4,3.8,2.2,1.2,1.4,1,0.4,3.2,5.2,5.4
Cluster 10,4947,4839,4914,4967,61,64,2.4,6.4,2.6,7,66,69,72,71,130,152,193,236,226,136,147,169,179,137,144,139,153,113,118,134,111,136,138,107,132,435000,420000,447000,463000,514000,555000,640000,719000,831000,884000,947000,966000,952000,936000,865000,886000,843000,854000,865000,913000,942000,0,1.2,3.2,85,87,92,60,70,65,65,49,53,57,145124,152159,158197,170709,192147,181863,185852,187254,204650,215324,0.9,0.3,0.6,3.4,1.5,2.4,2.4,3.1,3.4,2.7
