CLUSTER_TR2000,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2010_14,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2010_14,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2010_14,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2010_14,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2010_14,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2010_14,PctHshldPhone_2000,PctHshldPhone_2010_14,PctHshldCar_2000,PctHshldCar_2010_14,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2010_14,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2010_14,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015
Cluster 1,15,10,10,7.2,21,26,5.2,11,6.7,5.4,6,3.6,2.7,5.5,73,78,79,79,20,15,11,3.9,99,96,61,58,103602,121128,160609,185531,17,33,16,546,526,537,551,566,534,527,517,465,562,656,791,857,858,768,766,247,241,234,212,179,155,129,122,119,137,146,164,134,148,126,137,9,12,15,13,13,12,11,12,11,9.7,8.9,9.3,9.3,8,4.6,6.3,52,59,58,62,42,43,49,48,41,39,36,41,45,44,48,42
Cluster 2,24,24,26,15,33,35,27,30,27,22,8.3,8.6,9.7,7.5,55,61,58,72,44,42,42,17,94,97,48,54,54778,56232,63766,91914,2.7,13,44,6456,6179,5968,6056,6053,6262,5953,5740,5686,6680,8075,9180,9400,9640,8944,9041,3423,3448,3373,3198,3172,3058,2640,2466,2394,2557,2723,2664,2578,2435,2182,1978,16,15,18,21,16,17,17,17,17,15,13,13,12,12,9,9.9,43,45,49,47,41,35,44,43,44,44,42,47,50,58,61,59
Cluster 3,27,22,26,13,24,43,20,32,39,28,9.1,8.1,8.5,7.1,45,51,55,68,45,36,30,9.3,97,96,48,60,50089,61652,72581,145096,23,18,100,1283,1163,1141,1139,1153,1102,1011,970,951,1057,1254,1352,1383,1341,1228,1237,661,571,546,534,579,529,396,403,373,346,348,296,291,307,293,250,28,29,25,24,22,24,26,23,22,19,17,22,20,19,13,13,113,103,104,112,96,91,93,84,89,88,68,75,99,91,103,98
Cluster 4,16,16,15,11,9.9,6.9,1.7,9.6,6.5,3.9,2,2.4,2.1,4.3,68,68,66,59,6.4,4.4,2,1.5,100,97,83,79,180692,228758,272708,288334,27,19,5.7,24,29,31,27,26,36,30,45,40,59,68,87,100,83,96,90,10,11,11,9,12,12,s,8,8,12,13,14,10,7,7,6,6.6,6.2,6,5.6,5.5,4.7,5.4,6,3.9,3.8,5,3.9,2.7,2.6,2.8,2.4,54,55,44,44,45,46,41,45,48,45,41,44,46,47,54,53
Cluster 5,13,21,28,20,9.2,10,18,8.7,11,11,2.9,4.3,28,4.9,63,59,49,49,6.2,5,5.6,2.4,100,97,44,41,155597,224514,259442,248996,44,16,-4,62,49,42,30,38,36,47,77,85,73,94,108,110,119,99,137,s,s,s,s,10,s,8,25,31,19,27,33,30,24,12,14,3.8,4.6,4.3,4.1,3.1,2.5,1.7,2,3.1,3.6,3,3,2.8,1.5,2,2.4,54,39,39,37,32,29,26,26,28,24,22,26,24,23,29,33
Cluster 6,16,11,11,11,17,17,6.3,14,8,7,4.3,2.6,2.5,2.8,75,83,82,81,16,11,6.4,1.8,99,97,47,45,78983,121160,162208,161070,53,34,-0.7,219,206,225,235,215,202,212,226,186,212,243,227,251,242,220,206,78,86,104,96,86,75,75,73,61,73,73,48,36,38,21,16,17,16,18,17,16,12,14,14,15,11,13,15,12,9.2,7.6,8,172,146,140,122,99,101,89,93,104,104,89,97,107,93,101,105
Cluster 7,29,25,25,15,28,32,23,40,42,29,6.9,9.7,8.2,5,54,64,64,77,44,32,28,13,97,98,48,53,49563,59733,67097,123474,21,12,84,2266,2251,2351,2448,2465,2562,2563,2496,2409,2602,2976,3330,3450,3540,3279,3335,975,1027,1082,1107,1105,1057,922,870,749,770,783,767,758,720,627,621,16,20,16,15,13,14,15,15,11,11,12,11,9,9.3,7.5,7.5,54,54,65,58,58,49,56,52,54,49,40,48,58,55,66,62
Cluster 8,27,36,33,19,37,37,35,51,40,22,11,15,20,7.4,52,43,44,69,51,44,34,12,96,98,39,49,45099,41013,56782,130990,-9.1,38,131,3007,2814,2983,3517,3615,3674,3571,3212,2892,2760,2958,3242,3352,3354,3096,3153,1070,1156,1233,1349,1387,1419,1270,1172,935,766,774,807,820,786,770,692,54,50,41,42,28,26,27,25,22,21,19,22,20,17,15,18,312,270,218,163,127,119,123,125,125,114,93,105,128,120,152,136
Cluster 9,21,20,22,14,47,42,29,11,20,6.1,5.6,8.6,9.3,8,69,69,58,68,17,15,19,6.9,98,96,60,58,85284,86937,66086,114066,1.9,-24,73,1683,1636,1683,1846,2048,2017,1955,1844,1991,2143,2418,2576,2665,2636,2558,2573,963,936,893,952,1049,1018,963,887,907,949,1001,981,965,957,907,807,17,15,14,15,13,13,16,17,13,10,9.4,11,8.3,8.5,6.8,8,67,68,55,48,43,46,50,43,37,34,34,36,42,44,42,43
Cluster 10,5.7,3.6,4.8,6.4,0.9,1.1,2.1,7.1,11,3.8,2.5,2.6,2.5,2.9,59,65,59,66,9.6,5.1,7.6,4.3,99,98,83,85,137821,177236,215973,264459,29,22,22,39,35,30,36,45,42,46,36,38,46,73,83,103,121,107,123,s,s,s,s,5,6,7,6,s,s,8,8,8,8,8,12,1.3,1.9,1.4,1.3,1.6,0.7,1,0.4,0.7,0.4,0.8,1.3,0.6,0.3,0.9,0.3,19,19,17,20,15,15,12,11,12,18,15,14,13,20,18,13
